Målestokk;Sammensatt kode;Navn_Kartleggingsenheter 1:2500 for terrestre systemer;Grunntypenr;Grunntypekoder
2500;NA T1-B-1;lite tørkeutsatte svært og temmelig kalkfattige berg, bergvegger og knauser;1,2,21,33,41,42;T1-1,T1-2,T1-21,T1-33,T1-41,T1-42
2500;NA T1-B-2;tørkeutsatte svært og temmelig kalkfattige berg, bergvegger og knauser;3,4,22,23,34,43,44;T1-3,T1-4,T1-22,T1-23,T1-34,T1-43
2500;NA T1-B-3;lite tørkeutsatte, litt kalkfattige og svakt intermediæreberg, bergvegger og knauser;5,6,24,35,45,46;T1-5,T1-6,T1-24,T1-35,T1-45,T1-46
2500;NA T1-B-4;tørkeutsatte litt kalkfattige og svakt intermediære berg, bergvegger og knauser;7,8,25,26,36,47,48;T1-7,T1-8,T1-25,T1-26,T1-36,T1-47
2500;NA T1-B-5;lite tørkeutsatte sterkt intermediære og litt kalkrike berg, bergvegger og knauser;9,10,27,37,49,50;T1-9,T1-10,T1-27,T1-37,T1-49,T1-50
2500;NA T1-B-6;tørkeutsatte sterkt intermediære og litt kalkrike berg, bergvegger og knauser;11,12,28,29,38,51,52;T1-11,T1-12,T1-28,T1-29,T1-38,T1-51
2500;NA T1-B-7;lite tørkeutsatte temmelig til ekstremt kalkrike berg, bergvegger og knauser;13,14,17,18,30,39,53,54,57,58;T1-13,T1-14,T1-17,T1-18,T1-30,T1-39,T1-53,T1-54,T1-57,T1-58
2500;NA T1-B-8;tørkeutsatte temmelig til ekstremt klakrike berg, bergvegger og knauser;15,16,19,20,31,32,40,55,56,59,60,85;T1-15,T1-16,T1-19,T1-20,T1-31,T1-32,T1-40,T1-55,T1-56,T1-59,T1-60,T1-85
2500;NA T1-B-9;svært og temmelig kalkfattige flomsone-bergknauser og -vegger ;61,62;T1-61,T1-62
2500;NA T1-B-10;litt kalkfattige og svakt intermediære flomsone-bergknauser og vegger;63,64;T1-63,T1-64
2500;NA T1-B-11;sterkt intermediær og litt kalkrik flomsonebergvegg;66;T1-66
2500;NA T1-B-12;temmelig til ekstremt kalkrike flomsone-bergknauser og -vegger;67,68;T1-67,T1-68
2500;NA T1-B-13;svært og temmelig kalkfattige fosseberg-knauser og -vegger;69,7;T1-69,T1-70
2500;NA T1-B-14;litt kalkfattige og svakt intermediære foseeberg-knauser og -vegger;71,72;T1-71,T1-72
2500;NA T1-B-15;sterkt intermediære og litt kalkrike fosseberg-knauser og -vegger;65,73,74;T1-65,T1-73,T1-74
2500;NA T1-B-16;temmelig til ekstremt kalkrike fosseberg-knauser og -vegger;75,76;T1-75,T1-76
2500;NA T1-B-17;svakt intermediært og kalkfattig lite tørkeutsatt berg i pionérfase;77;T1-77
2500;NA T1-B-18;sterkt intermediært til ekstremt kalkrikt lite tørkeutsatt berg i pionérfase;79;T1-79
