Trinn;Trinnverdi;MåleskalaNavn
HA_0;Ikke tilrettelagt tresjikt;HA-SO
HA_a;Litt åpnet tresjikt;HA-SO
HA_b;Åpent tresjikt;HA-SO
HA_c;Åpnet, skjøttet tresjikt;HA-SO
HA_y;Åpen mark;HA-SO
HG_0;Uten preg av gjødsling;HG-SO
HG_a;Lav gjødslingsintensitet;HG-SO
HG_b;Intermediær gjødslingsintensitet;HG-SO
HG_c;Sterk gjødslingsintensitet;HG-SO
HG_y;Overgjødslet mark;HG-SO
HH_0;Ingen høsting;HH-SO
HH_a;Lav utnyttingsgrad;HH-SO
HH_b;Ekstensiv utnytting;HH-SO
HH_c;Intensiv utnytting;HH-SO
HH_y;Svært intensiv utnytting;HH-SO
HM_0;Uryddet mark;HM-SO
HM_a;Mark ryddet for stein;HM-SO
HM_b;Ryddet mark med utjevnet overflate;HM-SO
HM_c;Tidligere pløyd mark;HM-SO
HM_d;Sporadisk pløyd mark;HM-SO
HM_y;Regelmessig pløyd mark;HM-SO
HT_0;Minimal tråkkpåvirkning;HT-SO
HT_a;Svak tråkkpåvirkning;HT-SO
HT_b;Moderat tråkkpåvirkning;HT-SO
HT_c;Sterk tråkkpåvirkning;HT-SO
HT_y;Disruptiv tråkkpåvirkning;HT-SO
FY_K0;Minimal fysikalsk påvirkning av vann-natur;FY-SI
FY_KA;Temperaturregimeendringer;FY-SI
FY_KB;Gassovermetning;FY-SI
FY_KU;Annen fysikalsk påvirkning;FY-SI
MG_K0;Biocider;MG-SI
MG_KA;Organiske miljøgifter;MG-SI
MG_KB;Olje og andre petroleumsprodukter;MG-SI
MG_KC;Radioaktiv forurensning;MG-SI
MG_KD;Organisk belastning;MG-SI
MG_KE;Næringsstoffoverbelastning;MG-SI
MG_KF;Tungmetaller og andre uorganiske miljøgifter;MG-SI
MG_KG;Saltbelastning;MG-SI
MG_KH;Forsuring;MG-SI
MG_KU;Annen forurensning;MG-SI
AJ_K0;Minimalt preg av jordbruksaktivitet;AJ-SI
AJ_KA;Vanning;AJ-SI
AJ_KB;Brenning;AJ-SI
AJ_KC;Såing eller utplanting;AJ-SI
AJ_KD;Pløying;AJ-SI
AJ_KE;Sprøyting;AJ-SI
AJ_KF;Beiting;AJ-SI
AJ_KG;Slått;AJ-SI
AJ_KH;Gjødsling;AJ-SI
AS_K0;Minimalt preg av skogbruksaktivitet;AS-SI
AS_KA;Sprøyting;AS-SI
AS_KB;Kalking;AS-SI
AS_KC;Gjødsling;AS-SI
HG_K0;Uten tydelige spor etter lukket gradvis foryngelseshogst;HG-SI
HG_KA;Gruppehogst;HG-SI
HG_KB;Kanthogst;HG-SI
HG_KC;Skjermstillingshogst;HG-SI
HG_KU;Uspesifisert lukket gradvis foryngelseshogst;HG-SI
HI_K0;Uten tydelige spor etter intermediær hogst;HI-SI
HI_KA;Forhåndsrydding;HI-SI
HI_KB;Fri tynning;HI-SI
HI_KC;Høgtynning;HI-SI
HI_KD;Manuell avstandsregulering;HI-SI
HI_KE;Gjentatt rydningshogst;HI-SI
HI_KU;Uspesifisert intermediær hogst;HI-SI
HS_K0;Uten tydelige spor etter lukket selektiv hogst;HS-SI
HS_KA;Bledningshogst;HS-SI
HS_KB;Dimensjonshogst;HS-SI
HS_KC;Plukkhogst;HS-SI
HS_KU;Uspesifisert lukket selektiv hogst;HS-SI
HY_K0;Uten tydelige spor etter åpen foryngelseshogst;HY-SI
HY_KA;Frøtrestillingshogst;HY-SI
HY_KB;Snauhogst;HY-SI
HY_KC;Gjentatt snauhogst;HY-SI
HY_KU;Uspesifisert åpen foryngelseshogst;HY-SI
SF_K0;Uten spor etter skogforyngelsestiltak;SF-SI
SF_KA;Markberedning;SF-SI
SF_KB;Planting/såing;SF-SI
UM_K0;Intet uttak;UM-SI
UM_KA;Uttak av hogstavfall;UM-SI
UM_KB;Uttak av hogstavfall og stubber;UM-SI
UM_KC;Uttak bare av tømmer;UM-SI
UM_KD;Uttak med hauglegging av hogstavfall;UM-SI
KP_KA;Endring av jordbrukspraksis;KP-SI
KP_KB;Mindre drenering av våtmark;KP-SI
KP_KC;Mindre endring av vannføring i elv;KP-SI
KP_KD;Mindre endring av vannstandsvekslinger i innsjø;KP-SI
KP_KE;Mindre påvirkning fra miljøgifter, eutrofiering og annen forurensning;KP-SI
KR_KA;Gjenopptakelse av tidligere jordbrukspraksis;KR-SI
KR_KB;Restaureringsforsøk på drenert våtmark;KR-SI
KR_KC;Restaureringsforsøk i elv med mindre regulert vannføringsregime;KR-SI
KR_KD;Restaureringsforsøk i innsjø med mindre regulert vannstandvekslingsregime;KR-SI
KR_KE;Restaureringsforøk på mark og bunn som er påvirket av miljøgifter, eutrofiering og annen forurensning;KR-SI
OB_0;Uten sikre tegn på overbeskatning;OB-SO
OB_1;Tydelig overbeskatning;OB-SO
OB_2;Klart preg av overbeskatning;OB-SO
OB_y;Sterk overbeskatning;OB-SO
AG_0;Uten spor etter gjødsling;AG-SO
AG_1;Svært lett gjødsling;AG-SO
AG_2;Lett gjødsling;AG-SO
AG_3;Middels intensiv gjødsling;AG-SO
AG_4;Intensiv gjødsling;AG-SO
AG_y;Overgjødsling;AG-SO
AH_0;Uten preg av høsting;AH-SO
AH_1;Lav utnyttingsgrad;AH-SO
AH_2;Ekstensiv utnytting;AH-SO
AH_3;Intensiv høsting;AH-SO
AH_y;Svært intensiv høsting;AH-SO
AY_0;Uten spor etter sprøyting;AY-SO
AY_1;Sporadisk sprøyting;AY-SO
AY_2;Regelmessig sprøyting med moderat intensitet;AY-SO
AY_y;Intensiv sprøyting;AY-SO
BT_0;Minimalt spor etter beite;BT-SO
BT_1;Lavt beitetrykk;BT-SO
BT_2;Moderat beitetrykk;BT-SO
BT_3;Temmelig høyt beitetrykk;BT-SO
BT_4;Høyt beitetrykk;BT-SO
BT_y;Overbeitet;BT-SO
DA_0;Ingen død ved;DA-SO
DA_1;Ubetydelig andel død ved;DA-SO
DA_2;Svært liten andel død ved, mye mindre enn forventet i skog med naturlig dynamikk;DA-SO
DA_3;Liten andel død ved, mindre enn forventet i skog med naturlig dynamikk;DA-SO
DA_4;Middels andel død ved, noe mindre enn forventet i skog med naturlig dynamikk;DA-SO
DA_5;Stor andel død ved, omtrent som forventet (1/3) i skog med naturlig dynamikk;DA-SO
DA_6;Svært stor andel død ved, forventet kun i nylig naturlig forstyrret skog;DA-SO
DV_0;Tilnærmet uten død ved og dødvedvariasjon;DV-SO
DV_1;Liten dødvedvariasjon;DV-SO
DV_2;Middels dødvedvariasjon;DV-SO
DV_y;Stor dødvedvariasjon, som forventet i uforstyrret skog;DV-SO
FS_0;Naturlig fisketom vannforekomst;FS-SI
FS_A;Enkelt fiskesamfunn;FS-SI
FS_B;Moderat komplekst fiskesamfunn;FS-SI
FS_C;Komplekst fiskesamfunn i små og mellomstore sjøer;FS-SI
FS_D;Komplekst fiskesamfunn i store sjøer;FS-SI
AD_0;Skogsmark uten tresjikt;AD-SI
AD_B2;Bartrær er relative dominanter: ingen med-dominerende treslagsgrupper;AD-SI
AD_B2E;Bartrær er relative dominanter: edellauvtrær er med-dominerende treslagsgruppe;AD-SI
AD_B2L;Bartrær er relative dominanter: boreale lauvtrær er med-dominerende treslagsgruppe;AD-SI
AD_B2V;Bartrær er relative dominanter: pil og vier er med-dominerende treslagsgruppe;AD-SI
AD_BE;Bartrær og edellauvtrær er relative samdominanter;AD-SI
AD_BL;Bartrær og boreale lauvtrær er relative samdominanter;AD-SI
AD_BV;Bartrær og pil og vier er relative samdominanter;AD-SI
AD_B;Bartrær er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-SI
AD_E2;Edellauvtrær er relative dominanter: ingen med-dominerende treslagsgrupper;AD-SI
AD_E2B;Edellauvtrær er relative dominanter: bartrær er med-dominerende treslagsgruppe;AD-SI
AD_E2L;Edellauvtrær er relative dominanter: boreale lauvtrær er med-dominerende treslagsgruppe;AD-SI
AD_E2V;Edellauvtrær er relative dominanter: pil og vier er med-dominerende treslagsgruppe;AD-SI
AD_EL;Edellauvtrær og boreale lauvtrær er relative samdominanter;AD-SI
AD_EV;Edellauvtrær og pil og vier er relative samdominanter;AD-SI
AD_E;Edellauvtrær er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-SI
AD_L2;Boreale lauvtrær er relative dominanter: ingen med-dominerende treslagsgrupper;AD-SI
AD_L2B;Boreale lauvtrær er relative dominanter: bartrær er med-dominerende treslagsgruppe;AD-SI
AD_L2E;Boreale lauvtrær er relative dominanter: edellauvtrær er med-dominerende treslagsgruppe;AD-SI
AD_L2V;Boreale lauvtrær er relative dominanter: pil og vier er med-dominerende treslagsgruppe;AD-SI
AD_LV;Boreale lauvtrær og pil og vier er relative samdominanter;AD-SI
AD_L;Boreale lauvtrær er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-SI
AD_V2;Pil og vier er relative dominanter: ingen med-dominerende treslagsgrupper;AD-SI
AD_V2B;Pil og vier er relative dominanter: bartrær er med-dominerende treslagsgruppe;AD-SI
AD_V2E;Pil og vier er relative dominanter: edellauvtrær er med-dominerende treslagsgruppe;AD-SI
AD_V2L;Pil og vier er relative dominanter: boreale lauvtrær er med-dominerende treslagsgruppe;AD-SI
AD_V;Pil og vier er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-SI
VE_a;Skog eller potensiell skog;VE-SO
VE_b;Åpen hei og eng under skoggrensa;VE-SO
VE_c;Hei og eng over skoggrensa;VE-SO
VE_d;Bart fjell og nakne løsmasser over skoggrensa;VE-SO
UT_0;Balanse mellom trofiske nivåer;UT-SI
UT_A;Alternativ stabil artssammensetning;UT-SI
VD_0;Uten differensiert vegetasjon;VD-SI
VD_A;Stabilisert kortskuddsvegetasjon;VD-SI
ØD_0;Udifferensiert mark;ØD-SI
ØD_A;Økologisk differensiert mark med rabbepreg;ØD-SI
ØD_B;Økologisk differensiert mark med fjellhei-, leside- eller grasmarkspreg;ØD-SI
ØD_C;Økologisk differensiert mark med snøleiepreg;ØD-SI
ØD_D;Økologisk differensiert mark med skogsmarkspreg;ØD-SI
ØD_E;Økologisk differensiert mark med kildepreg;ØD-SI
TP_0;Minimal torvproduksjon;TP-SI
TP_a;Middels torvproduserede evne;TP-SI
TP_b;Stor torvproduserende evne;TP-SI
IE_0;Aktiv påvirkning;IE-SO
IE_a;Brakkleggings- eller svært tidlig gjenvekstsuksesjonsstadium;IE-SO
IE_b;Tidlig gjenvekstsuksesjonsstadium;IE-SO
IE_c;Temmelig tidlig gjenvekstsuksesjonsstadium;IE-SO
IE_d;Temmelig seint gjenvekstsuksesjonsstadium;IE-SO
IE_e;Seint gjenvekstsuksesjonsstadium;IE-SO
IE_f;Nær ettersuksesjonsstadium;IE-SO
IE_y;Ettersuksesjonsstadium;IE-SO
KU_a;Pionérfase;KU-SO
KU_b;Byggefase;KU-SO
KU_c;Moden fase;KU-SO
KU_d;Degenereringsfase;KU-SO
ST_0;Tre- og buskløs fase;ST-SO
ST_a;Foryngelsesskog;ST-SO
ST_b;Ungskog;ST-SO
ST_c;Yngre skog;ST-SO
ST_d;Eldre skog;ST-SO
ST_e;Gammel skog;ST-SO
ST_f;Fleraldret skog med kohortdynamikk;ST-SO
ST_y;Skog med småskaladynamikk;ST-SO
TE_0;Ingen endringsgjeld;TE-SO
TE_a;Ubetydelig endringsgjeld;TE-SO
TE_b;Observerbar endringsgjeld;TE-SO
TE_c;Betydelig endringsgjeld;TE-SO
TE_d;Vesentlig endringsgjeld;TE-SO
TE_e;Temmelig stor endringsgjeld;TE-SO
TE_f;Full artsutskifting;TE-SO
TE_g;Mer enn full artsutskifting;TE-SO
TE_y;Mye mer enn full artsutskifting;TE-SO
SS_1;Ensjiktet;SS-SO
SS_2;Tosjiktet;SS-SO
SS_3;Flersjiktet;SS-SO
0;0;D0
1;1;D0
2;2;D0
3;3–4;D0
4;5–8;D0
5;9–16;D0
6;17–32;D0
7;33–64;D0
8;65–128;D0
9;129–256;D0
10;<256;D0
0;0;D1a
1;1;D1a
2;2;D1a
3;3–4;D1a
4;5–8;D1a
5;9–16;D1a
6;17–32;D1a
7;33–64;D1a
8;65–128;D1a
9;129–256;D1a
10;<256;D1a
0;0;D1b
1;1;D1b
2;2-4;D1b
3;5-16;D1b
4;17-64;D1b
5;65-256;D1b
6;<256;D1b
0;0;T0
1;0–1/32;T0
2;1/32–1/16;T0
3;1/16–1/8;T0
4;1/8–1/4;T0
5;1/4–1/2;T0
6;1/2–1;T0
7;>1–2;T0
8;>2–4;T0
9;>4–8;T0
10;>8–16;T0
11;>16–32;T0
12;>32–64;T0
13;>64–128;T0
14;>128–256;T0
15;>256;T0
0;0;T1a
1;>0–1;T1a
2;>1–2;T1a
3;>2–4;T1a
4;>4–8;T1a
5;>8–16;T1a
6;>16–32;T1a
7;>32–64;T1a
8;>64–128;T1a
9;>128–256;T1a
10;>256;T1a
0;0;T1b
1;>0–1;T1b
2;>1–4;T1b
3;>4–16;T1b
4;>16–64;T1b
5;>64–256;T1b
6;>256;T1b
0;0;T1c
1;0–1/32;T1c
2;1/32–1/16;T1c
3;1/16–1/8;T1c
4;1/8–1/4;T1c
5;1/4–1/2;T1c
6;1/2–1;T1c
7;>1–2;T1c
8;>2–4;T1c
9;>4–8;T1c
10;>8–16;T1c
11;>16–32;T1c
12;>32–64;T1c
13;>64–128;T1c
14;>128–256;T1c
15;>256;T1c
0;0;P4
1;0-25;P4
2;25-50;P4
3;50-100;P4
0;0;P5
1;0-12,5;P5
2;12,5-25;P5
3;25-50;P5
4;50-100;P5
0;0;P6a
1;0-6,25;P6a
2;6,25-12,5;P6a
3;12,5-25;P6a
4;25-50;P6a
5;50-100;P6a
0;0;P6b
1;0-12,5;P6b
2;12,5-25;P6b
3;25-50;P6b
4;50-75;P6b
5;75-100;P6b
0;0;P7
1;0-6,25;P7
2;6,25-12,5;P7
3;12,5-25;P7
4;25-50;P7
5;50-75;P7
6;75-100;P7
0;0;P8
1;0-3,125;P8
2;3,125-6,25;P8
3;6,25-12,5;P8
4;12,5-25;P8
5;25-50;P8
6;50-75;P8
7;75-100;P8
0;0;P9a
1;0–3,125;P9a
2;3.125–6,25;P9a
3;6,25–12,5;P9a
4;12,5–25;P9a
5;25–50;P9a
6;50–75;P9a
7;75–90;P9a
8;90–100;P9a
0;0;P6c
1;0–3,125;P6c
2;3,125–12,5;P6c
3;12,5–37,5;P6c
4;37,5–80;P6c
5;80–100;P6c
0;Fravær;B
1;Forekomst;B
*;*;K
