M050-langkode;grunntype_kode
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-14
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-05
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-13
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-11
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-10
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-02
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-01
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-08
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-07
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;TK01-04
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-12
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-26
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-03
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-06
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-18
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-15
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-09
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-24
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;TK01-21
NiN-3.0-T-C-PE-NA-MB-TK02-M050-01;TK02-02
NiN-3.0-T-C-PE-NA-MB-TK02-M050-01;TK02-01
NiN-3.0-T-C-PE-NA-MB-TK02-M050-01;TK02-03
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;TK03-01
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;TK03-02
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;TK03-03
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;TK03-04
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;TK03-06
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;TK03-07
NiN-3.0-T-C-PE-NA-MB-TK03-M050-02;TK03-05
NiN-3.0-T-C-PE-NA-MB-TK03-M050-02;TK03-08
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;TL01-07
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;TL01-05
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;TL01-04
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;TL01-01
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;TL01-02
NiN-3.0-T-C-PE-NA-MB-TL01-M050-02;TL01-08
NiN-3.0-T-C-PE-NA-MB-TL01-M050-02;TL01-03
NiN-3.0-T-C-PE-NA-MB-TL01-M050-02;TL01-06
NiN-3.0-T-C-PE-NA-MB-TM01-M050-01;TM01-01
NiN-3.0-T-C-PE-NA-MB-TM01-M050-01;TM01-02
NiN-3.0-T-C-PE-NA-MB-TM01-M050-01;TM01-03
NiN-3.0-T-C-PE-NA-MB-TM02-M050-01;TM02-01
NiN-3.0-T-C-PE-NA-MB-TM02-M050-02;TM02-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-01;TM03-01
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;TM03-04
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;TM03-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;TM03-03
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;TM03-05
NiN-3.0-T-C-PE-NA-MB-TM03-M050-03;TM03-06
NiN-3.0-T-C-PE-NA-MB-TM03-M050-04;TM03-07
NiN-3.0-T-C-PE-NA-MB-TM03-M050-04;TM03-08
NiN-3.0-T-C-PE-NA-MB-TM04-M050-01;TM04-01
NiN-3.0-T-C-PE-NA-MB-TM04-M050-02;TM04-02
NiN-3.0-T-C-PE-NA-MB-TM05-M050-01;TM05-01
NiN-3.0-T-C-PE-NA-MB-TM05-M050-01;TM05-02
NiN-3.0-T-C-PE-NA-MB-TM06-M050-01;TM06-01
NiN-3.0-T-C-PE-NA-MB-TM06-M050-02;TM06-02
NiN-3.0-T-C-PE-NA-MB-TM06-M050-02;TM06-03
NiN-3.0-T-C-PE-NA-MB-TN01-M050-01;TN01-01
NiN-3.0-T-C-PE-NA-MB-TN02-M050-01;TN02-01
NiN-3.0-T-C-PE-NA-MB-TN03-M050-01;TN03-01
NiN-3.0-T-C-PE-NA-MB-TO01-M050-01;TO01-01
NiN-3.0-T-C-PE-NA-MB-TO02-M050-01;TO02-01
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;TO03-04
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;TO03-03
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;TO03-01
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;TO03-02
NiN-3.0-T-C-PE-NA-MB-TO04-M050-01;TO04-02
NiN-3.0-T-C-PE-NA-MB-TO04-M050-01;TO04-03
NiN-3.0-T-C-PE-NA-MB-TO04-M050-01;TO04-01
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-30
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-13
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-25
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-24
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-23
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-22
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-21
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-26
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-10
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-01
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-02
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-11
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-03
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-04
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-05
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-06
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-07
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-12
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-09
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;VA01-08
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-20
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-19
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-18
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-27
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-28
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-29
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-17
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-31
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-15
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-14
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;VA01-16
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-10
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-09
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-03
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-06
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-05
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-04
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-02
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;VB01-01
NiN-3.0-T-C-PE-NA-MB-VB01-M050-02;VB01-08
NiN-3.0-T-C-PE-NA-MB-VB01-M050-02;VB01-07
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-07
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-03
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-05
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-01
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-02
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-04
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;VC01-06
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;VC02-01
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;VC02-02
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;VC02-03
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;VC02-04
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;VC02-05
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;VC03-04
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;VC03-03
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;VC03-02
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;VC03-01
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;VC03-05
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-14
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-13
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-12
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-10
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-11
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-08
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-01
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-02
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-09
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-06
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-03
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-05
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-07
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;VC04-04
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;VC05-01
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;VC05-04
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;VC05-03
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;VC05-02
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;VC05-05
NiN-3.0-T-C-PE-NA-MB-VE01-M050-01;VE01-01
NiN-3.0-T-C-PE-NA-MB-VE01-M050-01;VE01-02
NiN-3.0-T-C-PE-NA-MB-VF01-M050-01;VF01-01
NiN-3.0-T-C-PE-NA-MB-VF02-M050-01;VF02-01
NiN-3.0-T-C-PE-NA-MB-VF02-M050-01;VF02-02
NiN-3.0-T-C-PE-NA-MB-VF02-M050-01;VF02-03
NiN-3.0-T-C-PE-NA-MB-VG01-M050-01;VG01-01
NiN-3.0-T-C-PE-NA-MB-VG01-M050-01;VG01-02
NiN-3.0-T-C-PE-NA-MB-VG01-M050-01;VG01-03
NiN-3.0-T-C-PE-NA-MB-VG02-M050-01;VG02-01
NiN-3.0-T-C-PE-NA-MB-VG02-M050-01;VG02-02
NiN-3.0-T-C-PE-NA-MB-VG02-M050-01;VG02-03
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;VI01-03
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;VI01-01
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;VI01-02
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;VI01-04
NiN-3.0-T-C-PE-NA-MB-VK01-M050-01;VK01-02
NiN-3.0-T-C-PE-NA-MB-VK01-M050-01;VK01-01
NiN-3.0-T-C-PE-NA-MB-VK01-M050-01;VK01-03
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;VK02-04
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;VK02-01
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;VK02-03
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;VK02-02
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;VM01-06
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;VM01-05
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;VM01-03
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;VM01-02
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;VM01-01
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;VM01-04
NiN-3.0-T-C-PE-NA-MB-VM02-M050-01;VM02-01
NiN-3.0-T-C-PE-NA-MB-VM03-M050-01;VM03-01
NiN-3.0-T-C-PE-NA-MB-VM04-M050-01;VM04-01
NiN-3.0-T-C-PE-NA-MB-VM05-M050-01;VM05-01
NiN-3.0-T-C-PE-NA-MB-VM06-M050-01;VM06-01
NiN-3.0-T-C-PE-NA-MB-VO01-M050-01;VO01-01
