M005-langkode;HTKode
NiN-3.0-T-C-PE-NA-MB-TD03-M005-01;NA-TD03
NiN-3.0-T-C-PE-NA-MB-TD03-M005-02;NA-TD03
NiN-3.0-T-C-PE-NA-MB-TD03-M005-03;NA-TD03
NiN-3.0-T-C-PE-NA-MB-TD03-M005-04;NA-TD03
NiN-3.0-T-C-PE-NA-MB-TD03-M005-05;NA-TD03
NiN-3.0-T-C-PE-NA-MB-TD03-M005-06;NA-TD03
NiN-3.0-T-C-PE-NA-MB-TD04-M005-01;NA-TD04
NiN-3.0-T-C-PE-NA-MB-TD04-M005-02;NA-TD04
NiN-3.0-T-C-PE-NA-MB-TD04-M005-03;NA-TD04
NiN-3.0-T-C-PE-NA-MB-TD04-M005-04;NA-TD04
NiN-3.0-T-C-PE-NA-MB-TD04-M005-05;NA-TD04
NiN-3.0-T-C-PE-NA-MB-TD05-M005-01;NA-TD05
NiN-3.0-T-C-PE-NA-MB-TD05-M005-02;NA-TD05
NiN-3.0-T-C-PE-NA-MB-TD06-M005-01;NA-TD06
NiN-3.0-T-C-PE-NA-MB-TD06-M005-02;NA-TD06
NiN-3.0-T-C-PE-NA-MB-TD06-M005-03;NA-TD06
NiN-3.0-T-C-PE-NA-MB-TD06-M005-04;NA-TD06
NiN-3.0-T-C-PE-NA-MB-TE01-M005-01;NA-TE01
NiN-3.0-T-C-PE-NA-MB-TE01-M005-02;NA-TE01
NiN-3.0-T-C-PE-NA-MB-TE01-M005-03;NA-TE01
NiN-3.0-T-C-PE-NA-MB-TE01-M005-04;NA-TE01
NiN-3.0-T-C-PE-NA-MB-TE01-M005-05;NA-TE01
NiN-3.0-T-C-PE-NA-MB-TE01-M005-06;NA-TE01
NiN-3.0-T-C-PE-NA-MB-TE02-M005-01;NA-TE02
NiN-3.0-T-C-PE-NA-MB-TE02-M005-02;NA-TE02
NiN-3.0-T-C-PE-NA-MB-TE02-M005-03;NA-TE02
NiN-3.0-T-C-PE-NA-MB-TE03-M005-01;NA-TE03
NiN-3.0-T-C-PE-NA-MB-TE03-M005-02;NA-TE03
NiN-3.0-T-C-PE-NA-MB-TE03-M005-03;NA-TE03
NiN-3.0-T-C-PE-NA-MB-TE03-M005-04;NA-TE03
NiN-3.0-T-C-PE-NA-MB-TE04-M005-01;NA-TE04
NiN-3.0-T-C-PE-NA-MB-TE05-M005-01;NA-TE05
NiN-3.0-T-C-PE-NA-MB-TE05-M005-02;NA-TE05
NiN-3.0-T-C-PE-NA-MB-TE05-M005-03;NA-TE05
NiN-3.0-T-C-PE-NA-MB-TE06-M005-01;NA-TE06
NiN-3.0-T-C-PE-NA-MB-TE06-M005-02;NA-TE06
NiN-3.0-T-C-PE-NA-MB-TE06-M005-03;NA-TE06
NiN-3.0-T-C-PE-NA-MB-TE07-M005-01;NA-TE07
NiN-3.0-T-C-PE-NA-MB-TE08-M005-01;NA-TE08
NiN-3.0-T-C-PE-NA-MB-TE08-M005-02;NA-TE08
NiN-3.0-T-C-PE-NA-MB-TE08-M005-03;NA-TE08
NiN-3.0-T-C-PE-NA-MB-TE08-M005-04;NA-TE08
NiN-3.0-T-C-PE-NA-MB-TE09-M005-01;NA-TE09
NiN-3.0-T-C-PE-NA-MB-TE09-M005-02;NA-TE09
NiN-3.0-T-C-PE-NA-MB-TE09-M005-03;NA-TE09
NiN-3.0-T-C-PE-NA-MB-TF01-M005-01;NA-TF01
NiN-3.0-T-C-PE-NA-MB-TF01-M005-02;NA-TF01
NiN-3.0-T-C-PE-NA-MB-TF02-M005-01;NA-TF02
NiN-3.0-T-C-PE-NA-MB-TF02-M005-02;NA-TF02
NiN-3.0-T-C-PE-NA-MB-TF02-M005-03;NA-TF02
NiN-3.0-T-C-PE-NA-MB-TF02-M005-04;NA-TF02
NiN-3.0-T-C-PE-NA-MB-TF02-M005-05;NA-TF02
NiN-3.0-T-C-PE-NA-MB-TF02-M005-06;NA-TF02
NiN-3.0-T-C-PE-NA-MB-TG01-M005-01;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-02;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-03;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-04;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-05;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-06;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-07;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-08;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-09;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-10;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-11;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-12;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-13;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-14;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-15;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-16;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-17;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-18;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-19;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-20;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-21;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-22;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-23;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-24;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-25;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-26;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-27;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-28;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-29;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-30;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-31;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-32;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-33;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-34;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-35;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-36;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-37;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-38;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-39;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-40;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TG01-M005-41;NA-TG01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-01;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-02;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-03;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-04;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-05;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-06;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-07;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-08;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-09;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-10;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-11;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-12;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-13;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TH01-M005-14;NA-TH01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-01;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-02;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-03;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-04;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-05;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-06;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-07;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-08;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-09;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TI01-M005-10;NA-TI01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-01;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-02;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-03;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-04;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-05;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-06;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-07;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-08;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-09;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-10;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-11;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-12;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-13;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-14;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-15;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-16;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-17;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-18;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-19;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-20;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-21;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-22;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-23;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-24;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-25;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-26;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK01-M005-27;NA-TK01
NiN-3.0-T-C-PE-NA-MB-TK02-M005-01;NA-TK02
NiN-3.0-T-C-PE-NA-MB-TK02-M005-02;NA-TK02
NiN-3.0-T-C-PE-NA-MB-TK03-M005-01;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-02;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-03;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-04;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-05;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-06;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-07;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TK03-M005-08;NA-TK03
NiN-3.0-T-C-PE-NA-MB-TL01-M005-01;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-02;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-03;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-04;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-05;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-06;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-07;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TL01-M005-08;NA-TL01
NiN-3.0-T-C-PE-NA-MB-TM01-M005-01;NA-TM01
NiN-3.0-T-C-PE-NA-MB-TM01-M005-02;NA-TM01
NiN-3.0-T-C-PE-NA-MB-TM01-M005-03;NA-TM01
NiN-3.0-T-C-PE-NA-MB-TM02-M005-01;NA-TM02
NiN-3.0-T-C-PE-NA-MB-TM02-M005-02;NA-TM02
NiN-3.0-T-C-PE-NA-MB-TM03-M005-01;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-02;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-03;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-04;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-05;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-06;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-07;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM03-M005-08;NA-TM03
NiN-3.0-T-C-PE-NA-MB-TM04-M005-01;NA-TM04
NiN-3.0-T-C-PE-NA-MB-TM04-M005-02;NA-TM04
NiN-3.0-T-C-PE-NA-MB-TM05-M005-01;NA-TM05
NiN-3.0-T-C-PE-NA-MB-TM05-M005-02;NA-TM05
NiN-3.0-T-C-PE-NA-MB-TM06-M005-01;NA-TM06
NiN-3.0-T-C-PE-NA-MB-TM06-M005-02;NA-TM06
NiN-3.0-T-C-PE-NA-MB-TM06-M005-03;NA-TM06
NiN-3.0-T-C-PE-NA-MB-TN01-M005-01;NA-TN01
NiN-3.0-T-C-PE-NA-MB-TN02-M005-01;NA-TN02
NiN-3.0-T-C-PE-NA-MB-TN03-M005-01;NA-TN03
NiN-3.0-T-C-PE-NA-MB-TO01-M005-01;NA-TO01
NiN-3.0-T-C-PE-NA-MB-TO02-M005-01;NA-TO02
NiN-3.0-T-C-PE-NA-MB-TO03-M005-01;NA-TO03
NiN-3.0-T-C-PE-NA-MB-TO03-M005-02;NA-TO03
NiN-3.0-T-C-PE-NA-MB-TO03-M005-03;NA-TO03
NiN-3.0-T-C-PE-NA-MB-TO03-M005-04;NA-TO03
NiN-3.0-T-C-PE-NA-MB-TO04-M005-01;NA-TO04
NiN-3.0-T-C-PE-NA-MB-TO04-M005-02;NA-TO04
NiN-3.0-T-C-PE-NA-MB-TO04-M005-03;NA-TO04
NiN-3.0-T-C-PE-NA-MB-VA01-M005-01;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-02;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-03;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-04;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-05;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-06;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-07;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-08;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-09;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-10;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-11;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-12;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-13;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-14;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-15;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-16;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-17;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-18;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VA01-M005-19;NA-VA01
NiN-3.0-T-C-PE-NA-MB-VB01-M005-01;NA-VB01
NiN-3.0-T-C-PE-NA-MB-VB01-M005-02;NA-VB01
NiN-3.0-T-C-PE-NA-MB-VB01-M005-03;NA-VB01
NiN-3.0-T-C-PE-NA-MB-VB01-M005-04;NA-VB01
NiN-3.0-T-C-PE-NA-MB-VC01-M005-01;NA-VC01
NiN-3.0-T-C-PE-NA-MB-VC01-M005-02;NA-VC01
NiN-3.0-T-C-PE-NA-MB-VC01-M005-03;NA-VC01
NiN-3.0-T-C-PE-NA-MB-VC02-M005-01;NA-VC02
NiN-3.0-T-C-PE-NA-MB-VC02-M005-02;NA-VC02
NiN-3.0-T-C-PE-NA-MB-VC02-M005-03;NA-VC02
NiN-3.0-T-C-PE-NA-MB-VC03-M005-01;NA-VC03
NiN-3.0-T-C-PE-NA-MB-VC03-M005-02;NA-VC03
NiN-3.0-T-C-PE-NA-MB-VC03-M005-03;NA-VC03
NiN-3.0-T-C-PE-NA-MB-VC04-M005-01;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-02;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-03;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-04;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-05;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-06;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-07;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-08;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-09;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC04-M005-10;NA-VC04
NiN-3.0-T-C-PE-NA-MB-VC05-M005-01;NA-VC05
NiN-3.0-T-C-PE-NA-MB-VC05-M005-02;NA-VC05
NiN-3.0-T-C-PE-NA-MB-VE01-M005-01;NA-VE01
NiN-3.0-T-C-PE-NA-MB-VE01-M005-02;NA-VE01
NiN-3.0-T-C-PE-NA-MB-VF01-M005-01;NA-VF01
NiN-3.0-T-C-PE-NA-MB-VF02-M005-01;NA-VF02
NiN-3.0-T-C-PE-NA-MB-VF02-M005-02;NA-VF02
NiN-3.0-T-C-PE-NA-MB-VF02-M005-03;NA-VF02
NiN-3.0-T-C-PE-NA-MB-VG01-M005-01;NA-VG01
NiN-3.0-T-C-PE-NA-MB-VG01-M005-02;NA-VG01
NiN-3.0-T-C-PE-NA-MB-VG02-M005-01;NA-VG02
NiN-3.0-T-C-PE-NA-MB-VG02-M005-02;NA-VG02
NiN-3.0-T-C-PE-NA-MB-VI01-M005-01;NA-VI01
NiN-3.0-T-C-PE-NA-MB-VI01-M005-02;NA-VI01
NiN-3.0-T-C-PE-NA-MB-VI01-M005-03;NA-VI01
NiN-3.0-T-C-PE-NA-MB-VI01-M005-04;NA-VI01
NiN-3.0-T-C-PE-NA-MB-VK01-M005-01;NA-VK01
NiN-3.0-T-C-PE-NA-MB-VK01-M005-02;NA-VK01
NiN-3.0-T-C-PE-NA-MB-VK01-M005-03;NA-VK01
NiN-3.0-T-C-PE-NA-MB-VK02-M005-01;NA-VK02
NiN-3.0-T-C-PE-NA-MB-VK02-M005-02;NA-VK02
NiN-3.0-T-C-PE-NA-MB-VK02-M005-03;NA-VK02
NiN-3.0-T-C-PE-NA-MB-VM01-M005-01;NA-VM01
NiN-3.0-T-C-PE-NA-MB-VM01-M005-02;NA-VM01
NiN-3.0-T-C-PE-NA-MB-VM01-M005-03;NA-VM01
NiN-3.0-T-C-PE-NA-MB-VM01-M005-04;NA-VM01
NiN-3.0-T-C-PE-NA-MB-VM01-M005-05;NA-VM01
NiN-3.0-T-C-PE-NA-MB-VM01-M005-06;NA-VM01
NiN-3.0-T-C-PE-NA-MB-VM02-M005-01;NA-VM02
NiN-3.0-T-C-PE-NA-MB-VM03-M005-01;NA-VM03
NiN-3.0-T-C-PE-NA-MB-VM04-M005-01;NA-VM04
NiN-3.0-T-C-PE-NA-MB-VM05-M005-01;NA-VM05
NiN-3.0-T-C-PE-NA-MB-VM06-M005-01;NA-VM06
NiN-3.0-T-C-PE-NA-MB-VO01-M005-01;NA-VO01
