M005-langkode;HTKode
NiN-3.0-T-C-PE-NA-MB-MA02-M005-02;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-03;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-04;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-05;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-06;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-07;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-08;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-09;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-10;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-11;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-12;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-13;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-14;NA-MA02
NiN-3.0-T-C-PE-NA-MB-MA03-M005-01;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-02;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-03;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-04;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-05;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-06;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-07;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-08;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-09;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-10;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-11;NA-MA03
NiN-3.0-T-C-PE-NA-MB-MA04-M005-01;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-02;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-03;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-04;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-05;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-06;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-07;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-08;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-09;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-10;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-11;NA-MA04
NiN-3.0-T-C-PE-NA-MB-MA05-M005-01;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-02;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-03;NA-MA05
