Grunntype_kode;Basistrinn_csv
NA-M4-28;DL-abcd, SA-abc, TV-0, S3-E-0a, S3-F-¤, KA-hi
NA-M4-29;DL-abc, SA-de, TV-ab, S3-E-ab, S3-F-0a
NA-M4-30;DL-abc, SA-de, TV-ab, S3-E-0a, S3-F-¤
NA-M4-31;DL-abc, SA-de, TV-ab, S3-E-bc, S3-F-bc
NA-M4-32;DL-abc, SA-de, TV-ab, S3-E-bc, S3-F-¤
NA-M4-33;DL-abc, SA-de, TV-ab, S3-E-c, S3-F-0a
NA-M4-34;DL-abc, SA-de, TV-ab, S3-E-de, S3-F-0a
NA-M4-35;DL-abc, SA-de, TV-ab, S3-E-d, S3-F-¤
NA-M4-36;DL-abc, SA-de, TV-ab, S3-E-0a, S3-F-¤, IO-¤
NA-M4-37;DL-abc, SA-de, TV-ab, S3-S-a
NA-M4-38;DL-abc, SA-abc, TV-ab, S3-E-ab, S3-F-0a
NA-M4-39;DL-abc, SA-abc, TV-ab, S3-E-0a, S3-F-¤
NA-M4-40;DL-abc, SA-abc, TV-ab, S3-E-bc, S3-F-bc
NA-M4-41;DL-abc, SA-abc, TV-ab, S3-E-bc, S3-F-¤
NA-M4-42;DL-abc, SA-abc, TV-ab, S3-E-d, S3-F-¤
NA-M4-43;DL-abc, SA-abc, TV-ab, S3-E-0a, S3-F-¤, IO-¤
NA-M4-44;DL-abcd, SA-abcde, S3-E-abcde, S3-F-0abc, SE-¤
NA-M5-1;DM-0, S3-E-ab, S3-F-0a
NA-M5-2;DM-0, S3-E-0a, S3-F-¤
NA-M5-3;DM-0, S3-E-cde, S3-F-0a
NA-M5-4;DM-0, S3-E-bcd, S3-F-bc
NA-M5-5;DM-0, S3-E-bcd, S3-F-¤
NA-M5-6;DM-0, S3-E-e, S3-F-¤
NA-M5-7;DM-0, S3-E-0a, S3-F-¤, IO-¤
NA-M5-8;DM-0, S3-S-a
NA-M5-9;DM-0, S3-S-c
NA-M5-10;DM-0, S3-S-d
NA-M5-11;DM-a, S3-E-ab, S3-F-0a
NA-M5-12;DM-a, S3-E-0a, S3-F-¤
NA-M5-13;DM-a, S3-E-cde, S3-F-0a
NA-M5-14;DM-a, S3-E-bcd, S3-F-bc
NA-M5-15;DM-a, S3-E-bcd, S3-F-¤
NA-M5-16;DM-a, S3-E-e, S3-F-¤
NA-M5-17;DM-a, S3-E-0a, S3-F-¤, IO-¤
NA-M5-18;DM-a, S3-S-c
NA-M5-19;DM-a, S3-S-d
NA-M5-20;DM-b, S3-E-ab, S3-F-0a
NA-M5-21;DM-b, S3-E-0a, S3-F-¤
NA-M5-22;DM-b, S3-E-cde, S3-F-0a
NA-M5-23;DM-b, S3-E-bcd, S3-F-bc
NA-M5-24;DM-b, S3-E-bcd, S3-F-¤
NA-M5-25;DM-b, S3-E-e, S3-F-¤
NA-M5-26;DM-b, S3-S-c
NA-M5-27;DM-cd, S3-E-ab, S3-F-0a
NA-M5-28;DM-cd, S3-E-0a, S3-F-¤
NA-M5-29;DM-cd, S3-E-cde, S3-F-0a
NA-M5-30;DM-cd, S3-E-bcd, S3-F-¤
NA-M5-31;DM-cd, S3-E-e, S3-F-¤
NA-M5-32;DM-cd, S3-S-c
NA-M5-33;DM-ef, S3-E-ab, S3-F-0a
NA-M5-34;DM-ef, S3-E-0a, S3-F-¤
NA-M5-35;DM-ef, S3-E-cde, S3-F-0a
NA-M5-36;DM-ef, S3-E-bcd, S3-F-¤
NA-M5-37;DM-ef, S3-E-e, S3-F-¤
NA-M5-38;DM-ef, S3-S-c
NA-M6-1;KY-0
NA-M6-2;KY-a
NA-M7-1;SA-abc, TV-0
NA-M7-2;SA-abc, TV-ab
NA-M7-3;SA-def, TV-0
NA-M7-4;SA-def, TV-ab
NA-M9-1;SM-gh, TV-cdefgh
NA-M9-2;SM-gh, TV-ij
NA-M9-3;SM-gh, TV-k
NA-M9-4;SM-i, TV-cdefgh
NA-M9-5;SM-i, TV-ij
NA-M9-6;SM-i, TV-k
NA-M9-7;SM-¤, TV-ijk
NA-M9-8;SM-gh, TV-cdefgh, SE-b
NA-M9-9;SM-i, TV-cdefgh, SE-b
NA-M10-1;DL-0, GS-ab
NA-M10-2;DL-abcd, GS-ab
NA-M10-3;DL-e+, GS-abcd¤
NA-M10-4;DL-0, GS-cd¤
NA-M10-5;DL-abcd, GS-cd¤
NA-M11-1;DM-0, KI-e
NA-M11-2;DM-0, KI-¤
NA-M11-3;DM-a, KI-e
NA-M11-4;DM-a, KI-¤
NA-M11-5;DM-bcdef, KI-e
NA-M11-6;DM-bcdef, KI-¤
NA-M11-7;DM-bcdef, KI-¤, KT-e
NA-M12-1;JV-ab, DM-0, KI-e
NA-M12-2;JV-ab, DM-a, KI-e
NA-M12-3;JV-ab, DM-bcdef, KI-e
NA-M12-4;JV-cd, DM-0, KI-e
NA-M12-5;JV-cd, DM-a, KI-e
NA-M12-6;JV-cd, DM-bcdef, KI-e
NA-M12-7;JV-e¤, DM-0abcdef, KI-e
NA-M13-1;OM-b, DL-0
NA-M13-2;OM-b, DL-abcd
NA-M13-3;OM-¤, DL-0
NA-M13-4;OM-¤, DL-abcd
NA-M14-1;DL-0, SX-a
NA-M14-2;DL-abcd, SX-a
NA-M14-3;DL-e+, SX-a
NA-M15-1;S3-E-0, S3-F-0ab, HS*-A, SX-b
NA-M15-2;S3-E-0, S3-F-c¤, HS*-A, SX-b
NA-M15-3;S3-E-e, S3-F-0ab, HS*-A, SX-b
NA-M15-4;S3-E-0, S3-F-c¤, HS*-B, SX-b
NA-T1-1;OR-0, HF-+, KA-ab, UE-0a
NA-T1-2;OR-0, HF-+, KA-ab, UE-c
NA-T1-3;OR-0, HF-+, KA-ab, UE-ef
NA-T1-4;OR-0, HF-+, KA-ab, UE-fg
NA-T1-5;OR-0, HF-+, KA-cd, UE-0a
NA-T1-6;OR-0, HF-+, KA-cd, UE-bc
NA-T1-7;OR-0, HF-+, KA-cd, UE-ef
NA-T1-8;OR-0, HF-+, KA-cd, UE-fg
NA-T1-9;OR-0, HF-+, KA-ef, UE-0a
NA-T1-10;OR-0, HF-+, KA-ef, UE-bc
NA-T1-11;OR-0, HF-+, KA-ef, UE-ef
NA-T1-12;OR-0, HF-+, KA-ef, UE-fg
NA-T1-13;OR-0, HF-+, KA-gh, UE-0ab
NA-T1-14;OR-0, HF-+, KA-gh, UE-bc
NA-T1-15;OR-0, HF-+, KA-gh, UE-ef
NA-T1-16;OR-0, HF-+, KA-gh, UE-fg
NA-T1-17;OR-0, HF-+, KA-i, UE-0a
NA-T1-18;OR-0, HF-+, KA-i, UE-bc
NA-T1-19;OR-0, HF-+, KA-i, UE-ef
NA-T1-20;OR-0, HF-+, KA-i, UE-fg
NA-T1-21;OR-ab, HF-0ab+, KA-ab, UE-0abc
NA-T1-22;OR-ab, HF-0ab+, KA-ab, UE-ef
NA-T1-23;OR-ab, HF-0ab+, KA-ab, UE-fg
NA-T1-24;OR-ab, HF-0ab+, KA-cd, UE-0abc
NA-T1-25;OR-ab, HF-0ab+, KA-cd, UE-ef
NA-T1-26;OR-ab, HF-0ab+, KA-cd, UE-fg
NA-T1-27;OR-ab, HF-0ab+, KA-ef, UE-0abc
NA-T1-28;OR-ab, HF-0ab+, KA-ef, UE-ef
NA-T1-29;OR-ab, HF-0ab+, KA-ef, UE-fg
NA-T1-30;OR-ab, HF-0ab+, KA-ghi, UE-0abc
NA-T1-31;OR-ab, HF-0ab+, KA-ghi, UE-ef
NA-T1-32;OR-ab, HF-0ab+, KA-ghi, UE-fg
NA-T1-33;OR-c, HF-0ab+, KA-ab, UE-0abc
NA-T1-34;OR-c, HF-0ab+, KA-ab, UE-effg
NA-T1-35;OR-c, HF-0ab+, KA-cd, UE-0abc
NA-T1-36;OR-c, HF-0ab+, KA-cd, UE-effg
NA-T1-37;OR-c, HF-0ab+, KA-ef, UE-0abc
NA-T1-38;OR-c, HF-0ab+, KA-ef, UE-effg
NA-T1-39;OR-c, HF-0ab+, KA-ghi, UE-0abc
NA-T1-40;OR-c, HF-0ab+, KA-ghi, UE-effg
NA-T1-41;OR-0, HF-0ab, KA-ab, UE-0a
NA-T1-42;OR-0, HF-0ab, KA-ab, UE-bc
NA-T1-43;OR-0, HF-0ab, KA-ab, UE-ef
NA-T1-44;OR-0, HF-0ab, KA-ab, UE-fg
NA-T1-45;OR-0, HF-0ab, KA-cd, UE-0a
NA-T1-46;OR-0, HF-0ab, KA-cd, UE-bc
NA-T1-47;OR-0, HF-0ab, KA-cd, UE-ef
NA-T1-48;OR-0, HF-0ab, KA-cd, UE-fg
NA-T1-49;OR-0, HF-0ab, KA-ef, UE-0a
NA-T1-50;OR-0, HF-0ab, KA-ef, UE-bc
NA-T1-51;OR-0, HF-0ab, KA-ef, UE-ef
NA-T1-52;OR-0, HF-0ab, KA-ef, UE-fg
NA-T1-53;OR-0, HF-+, KA-gh, UE-0a
NA-T1-54;OR-0, HF-+, KA-gh, UE-bc
NA-T1-55;OR-0, HF-+, KA-gh, UE-ef
NA-T1-56;OR-0, HF-+, KA-gh, UE-fg
NA-T1-57;OR-0, HF-+, KA-i, UE-0a
NA-T1-58;OR-0, HF-+, KA-i, UE-bc
NA-T1-59;OR-0, HF-+, KA-i, UE-ef
NA-T1-60;OR-0, HF-+, KA-i, UE-fg
NA-T1-61;VF-bcdef, KA-ab, HF-0ab
NA-T1-62;VF-bcdef, KA-ab, HF-+
NA-T1-63;VF-bcdef, KA-cd, HF-0ab
NA-T1-64;VF-bcdef, KA-cd, HF-+
NA-T1-65;VF-bcdef, KA-ef, HF-0ab
NA-T1-66;VF-bcdef, KA-ef, HF-+
NA-T1-67;VF-bcdef, KA-ghi, HF-0ab
NA-T1-68;VF-bcdef, KA-ghi, HF-+
NA-T1-69;VS-e, KA-ab, HF-0ab
NA-T1-70;VS-e, KA-ab, HF-+
NA-T1-71;VS-e, KA-cd, HF-0ab
NA-T1-72;VS-e, KA-cd, HF-+
NA-T1-73;VS-e, KA-ef, HF-0ab
NA-T1-74;VS-e, KA-ef, HF-+
