Grunntype_kode;Basistrinn_csv
NA-T32-16;KA-de, HI-cde, UF-cde
NA-T32-17;KA-fg, HI-b, UF-cde
NA-T32-18;KA-fg, HI-cde, UF-cde
NA-T32-19;KA-hi, HI-b, UF-cde
NA-T32-20;KA-hi, HI-cd, UF-cde
NA-T32-21;KA-fg, HI-cde, UF-cde, SS-fghi
NA-T33-1;TV-fgh, HI-bcde, SA-abcdef+
NA-T33-2;TV-ijk, HI-bcde, SA-abcdef+
NA-T34-1;KA-abc, UF-bc, HI-bcde, HR-a
NA-T34-2;KA-abc, UF-de, HI-bcde, HR-a
NA-T34-3;KA-abc, UF-fgh, HI-bcde, HR-a
NA-T34-4;KA-de, UF-bc, HI-bcde, HR-a
NA-T34-5;KA-de, UF-de, HI-bcde, HR-a
NA-T34-6;KA-de, UF-fgh, HI-bcde, HR-a
NA-T34-7;KA-fg, UF-de, HI-bcde, HR-a
NA-T34-8;KA-fg, UF-fgh, HI-bcde, HR-a
NA-T34-9;KA-hi, UF-de, HI-bcde, HR-a
NA-T34-10;KA-hi, UF-fgh, HI-bcde, HR-a
NA-T34-11;KA-abc, UF-de, HI-bcde, HR-a, VM-ab
NA-T34-12;KA-de, UF-de, HI-bcde, HR-a, VM-ab
NA-T35-1;S1-0, SX-e
NA-T35-2;S1-de, SX-e
NA-T35-3;S1-fg, SX-e
NA-T35-4;S1-hi, SX-e
NA-T36-1;HS*-A, SX-f
NA-T36-2;HS*-B, SX-f
NA-T36-3;HS*-C, SX-f
NA-T37-1;HS*-A
NA-T37-2;HS*-B
NA-T37-3;HS*-C
NA-T38;SX-e
NA-T39-1;HS*-A, LA-0ab, SX-h
NA-T39-2;HS*-A, LA-cdef, SX-h
NA-T39-3;HS*-B, LA-0ab, SX-h
NA-T39-4;HS*-B, LA-cdef, SX-h
NA-T39-5;HS*-C, LA-0ab, SX-h
NA-T39-6;HS*-C, LA-cdef, SX-h
NA-T39-7;HS*-D, LA-0ab, SX-h
NA-T39-8;HS*-D, LA-cdef, SX-h
NA-T40;SX-i, MB-0
NA-T41;SX-j, MB-+
NA-T42;SX-k, MB-0
NA-T43;SX-k, MB-+
NA-T44;SX-l, MB-+
NA-T45-1;HI-fg, SP-0, SX-l, MB-+
NA-T45-2;HI-fg, SP-a, SX-l, MB-+
NA-T45-3;HI-hi, SP-a, SX-l, MB-+
NA-T45-4;HI-j, SP-a, SX-l, MB-+
NA-V1-1;KA-ab, TV-cd
NA-V1-2;KA-ab, TV-ef
NA-V1-3;KA-ab, TV-gh
NA-V1-4;KA-ab, TV-ij
NA-V1-5;KA-ab, TV-k
NA-V1-6;KA-cd, TV-cd
NA-V1-7;KA-cd, TV-ef
NA-V1-8;KA-cd, TV-gh
NA-V1-9;KA-cd, TV-ij
NA-V1-10;KA-ef, TV-cd
NA-V1-11;KA-ef, TV-ef
NA-V1-12;KA-ef, TV-gh
NA-V1-13;KA-ef, TV-ij
NA-V1-14;KA-gh, TV-cd
NA-V1-15;KA-gh, TV-ef
NA-V1-16;KA-gh, TV-gh
NA-V1-17;KA-i, TV-cd
NA-V1-18;KA-i, TV-ef
NA-V1-19;KA-i, TV-gh
NA-V1-20;KA-ghi, TV-ij
NA-V1-21;KA-ab, TV-cdef, MF-cd
NA-V1-22;KA-ab, TV-ghijk, MF-cd
NA-V1-23;KA-cd, TV-cdef, MF-cd
NA-V1-24;KA-cd, TV-ghijk, MF-cd
NA-V1-25;KA-ef, TV-cdef, MF-cd
NA-V1-26;KA-ef, TV-ghijk, MF-cd
NA-V1-27;KA-gh, TV-cdef, MF-cd
NA-V1-28;KA-i, TV-cdef, MF-cd
NA-V1-29;KA-ghi, TV-ghijk, MF-cd
NA-V1-30;KA-ef, TV-cdef, MF-cd, KI-bc
NA-V1-31;KA-gh, TV-cdef, MF-cd, KI-bc
NA-V1-32;KA-gh, TV-cdef, MF-cd, SA-bcd
NA-V2-1;KA-abcd, TV-cdef
NA-V2-2;KA-abcd, TV-ghijk
NA-V2-3;KA-ef, TV-cdef
NA-V2-4;KA-ef, TV-ghijk
NA-V2-5;KA-ghi, TV-cdef
NA-V2-6;KA-ghi, TV-ghijk
NA-V2-7;KA-ef, TV-cdef, KI-bc
NA-V2-8;KA-ghi, TV-cdef, KI-bc
NA-V3-1;TV-cd, VT-c
NA-V3-2;TV-ef, VT-c
NA-V3-3;TV-gh, VT-c
NA-V3-4;TV-ij, VT-c
NA-V3-5;TV-k, VT-c
NA-V3-6;TV-k, VT-c, MF-cd
NA-V3-7;TV-k, VT-c, VI-ab
NA-V4-1;KA-cd, Ki-de
NA-V4-2;KA-ef, Ki-de
NA-V4-3;KA-ef, Ki-¤
NA-V4-4;KA-ghi, Ki-de
NA-V4-5;KA-ghi, Ki-¤
NA-V4-6;KA-ef, Ki-de, KT-b
NA-V4-7;KA-ef, Ki-¤, KT-b
NA-V4-8;KA-ghi, Ki-de, KT-b
NA-V4-9;KA-ghi, Ki-¤, KT-b
NA-V5-1;JV-a, Ki-de¤
NA-V5-2;JV-b, Ki-de¤
NA-V6-1;SV-ab, KA-cdef, KI-bc, IO-0a
NA-V6-2;SV-ab, KA-ghi, KI-bc, IO-0a
NA-V6-3;SV-de, KA-cdef, KI-bc, IO-0a
NA-V6-4;SV-de, KA-ghi, KI-bc, IO-0a
NA-V6-5;SV-ef, KA-cdef, KI-bc, IO-0a
NA-V6-6;SV-ef, KA-ghi, KI-bc, IO-0a
NA-V6-7;SV-de, KA-cdef, KI-de, IO-0a
NA-V6-8;SV-de, KA-ghi, KI-de, IO-0a
NA-V6-9;SV-ef, KA-cdefghi, KI-de, IO-0a
NA-V7-1;KA-cdef, PF-a
NA-V7-2;KA-ghi, PF-a
NA-V8-1;KA-cde, VT-a
NA-V8-2;KA-fgh, VT-a
NA-V8-3;KA-fgh, VT-a, SA-bcd
NA-V9-1;KA-bcd, HI-bcde
NA-V9-2;KA-ef, HI-bcde
NA-V9-3;KA-ghi, HI-bcde
NA-V10-1;KA-cde, KI-0a, HI-bcde, IO-0a
NA-V10-2;KA-fgh, KI-0a, HI-bcde, IO-0a
NA-V10-3;KA-cdefgh, KI-bc, HI-bcde, IO-0a
NA-V11-1;KA-abcd, SX-m
NA-V11-2;KA-efghi, SX-m
NA-V12-1;VT-0, KA-abcd, SX-n
NA-V12-2;VT-0, KA-efghi, SX-n
NA-V12-3;VT-a, KA-abcd, SX-n
NA-V13-1;HS*-A, IO-0a, SX-o
NA-V13-2;HS*-A, IO-b¤, SX-o
NA-V13-3;HS*-B, IO-0a, SX-o
NA-V13-4;HS*-B, IO-b¤, SX-o
NA-V13-5;HS*-C, IO-0a, SX-o
NA-V13-6;HS*-C, IO-b¤, SX-o
NA-V13-7;HS*-D, IO-0a, SX-o
NA-V13-8;HS*-D, IO-b¤, SX-o
NA-H1-1;DM-0, KY-0
NA-H1-2;DM-a, KY-0
NA-H1-3;DM-bcd, KY-0
NA-H1-4;DM-ef, KY-0
NA-H1-5;DM-0, KY-a
NA-H2-1;SA-def, SM-a
NA-H2-2;SA-def, SM-bc
NA-H2-3;SA-def, SM-def
NA-H2-4;SA-def, SM-gh
NA-H2-5;SA-def, SM-i
NA-H2-6;SA-def, SM-¤
NA-H2-7;SA-abc, SM-bc
NA-H2-8;SA-abc, SM-def
NA-H4-1;SY-a
NA-H4-2;SY-b
NA-H4-3;SY-c
NA-H4-4;SY-d
NA F10-1;MK-ab, 0
NA F10-2;MK-c
NA F10-3;MK-de
NA F10-4;MK-f
NA F1-1;FS-a, KA-ab, HU-0a
NA F1-10;FS-b, KA-cd, HU-bc¤
NA F11-1;KA-abcd
NA F1-11;FS-b, KA-efg, HU-0a, HU-bc¤
NA F11-2;KA-efghi
NA F1-12;FS-b, KA-hi, HU-0a, HU-bc¤
NA F1-13;FS-cd, KA-ab, HU-0a
NA F1-14;FS-cd, KA-ab, HU-bc¤
NA F1-15;FS-cd, KA-cd, HU-0a
NA F1-16;FS-cd, KA-cd, HU-bc¤
NA F1-17;FS-cd, KA-efg, HU-0a, HU-bc¤
NA F1-18;FS-cd, KA-hi, HU-0a, HU-bc¤
NA F1-2;FS-a, KA-ab, HU-bc¤
NA F12-1;
NA F1-3;FS-a, KA-cd, HU-0a
NA F13-1;KA-abcd
NA F13-2;KA-efghi
NA F1-4;FS-a, KA-cd, HU-bc¤
NA F1-5;FS-a, KA-efg, HU-0a, HU-bc¤
NA F1-6;FS-a, KA-hi, HU-0a, HU-bc¤
NA F1-7;FS-b, KA-ab, HU-0a
NA F1-8;FS-b, KA-ab, HU-bc¤
NA F1-9;FS-b, KA-cd, HU-0a
NA F2-1;FS-a, KA-ab, HU-0a
NA F2-10;FS-b, KA-cd, HU-bc¤
NA F2-11;FS-b, KA-efg, HU-0a, HU-bc¤
NA F2-12;FS-b, KA-hi, HU-0a, HU-bc¤
NA F2-13;FS-cd, KA-ab, HU-0a
NA F2-14;FS-cd, KA-ab, HU-bc¤
NA F2-15;FS-cd, KA-cd, HU-0a
NA F2-16;FS-cd, KA-cd, HU-bc¤
NA F2-17;FS-cd, KA-efg, HU-0a, HU-bc¤
NA F2-18;FS-cd, KA-hi, HU-0a, HU-bc¤
NA F2-2;FS-a, KA-ab, HU-bc¤
NA F2-3;FS-a, KA-cd, HU-0a
NA F2-4;FS-a, KA-cd, HU-bc¤
NA F2-5;FS-a, KA-efg, HU-0a, HU-bc¤
NA F2-6;FS-a, KA-hi, HU-0a, HU-bc¤
NA F2-7;FS-b, KA-ab, HU-0a
NA F2-8;FS-b, KA-ab, HU-bc¤
NA F2-9;FS-b, KA-cd, HU-0a
NA F3-1;KA-ab, HU-0a
NA F3-2;KA-ab, HU-bc¤
NA F3-3;KA-cd, HU-0a
NA F3-4;KA-cd, HU-bc¤
NA F3-5;KA-efg, HU-0a, HU-bc¤
NA F3-6;KA-hi, HU-0a, HU-bc¤
NA F4-1;KA-ab, SM-def, HU-0a, VT-0ab
NA F4-10;KA-ab, SM-ghi, HU-bc¤, VT-0ab
NA F4-11;KA-cd, SM-def, HU-bc¤, VT-0ab
NA F4-12;KA-cd, SM-ghi, HU-bc¤, VT-0ab
NA F4-13;KA-efg, SM-def, HU-bc¤, VT-0ab
NA F4-14;KA-efg, SM-ghi, HU-bc¤, VT-0ab
NA F4-15;KA-hi, SM-def, HU-bc¤, VT-0ab
NA F4-16;KA-hi, SM-ghi, HU-bc¤, VT-0ab
NA F4-17;SM-ghi, HU-bc¤, VT-c
NA F4-2;KA-ab, SM-ghi, HU-0a, VT-0ab
NA F4-3;KA-cd, SM-def, HU-0a, VT-0ab
NA F4-4;KA-cd, SM-ghi, HU-0a, VT-0ab
NA F4-5;KA-efg, SM-def, HU-0a, VT-0ab
NA F4-6;KA-efg, SM-ghi, HU-0a, VT-0ab
NA F4-7;KA-hi, SM-def, HU-0a, VT-0ab
NA F4-8;KA-hi, SM-ghi, HU-0a, VT-0ab
NA F4-9;KA-ab, SM-def, HU-bc¤, VT-0ab
NA F5-1;TU-ab, KA-abcd
NA F5-2;TU-ab, KA-efg
NA F5-3;TU-c¤, KA-abcd
NA F6-1;
NA F7-1;FK-0, OM-b
NA F7-2;FK-a, OM-¤
NA F7-3;FK-b, OM-¤
NA F7-4;FK-c, OM-¤
NA F7-5;FK-d, OM-¤
NA F7-6;FK-e, OM-¤
NA F8-1;FS-0
NA F8-2;FS-abc
NA F9-1;FS-0, KA-abcd, HY-a
NA F9-2;FS-0, KA-abcd, HY-b
NA F9-3;FS-0, KA-efghi, HY-a
NA F9-4;FS-0, KA-efghi, HY-b
NA F9-5;FS-abc, KA-abcd, HY-a
NA F9-6;FS-abc, KA-abcd, HY-b
NA F9-7;FS-abc, KA-efghi, HY-a
NA F9-8;FS-abc, KA-efghi, HY-b
NA L10-1;
NA L1-1;KA-ab, DL-0a, VF-0abc, TU-0ab
NA L1-10;KA-hi, DL-0a, VF-0abc, TU-0ab
NA L11-1;ST-0f
NA L1-11;KA-hi, DL-0a, VF-de, TU-0ab
NA L11-2;ST-i
NA L1-12;KA-hi, DL-bcde, VF-0abc, TU-0ab
NA L1-13;KA-ab, KA-cd, KA-efg, KA-hi, DL-0a, DL-bcde, VF-0abc, VF-de, TU-c¤
NA L1-14;KA-ab, DL-0a, VF-de, TU-0ab
NA L12-1;
NA L1-3;KA-ab, DL-bcde, VF-0abc, TU-0ab
NA L13-1;KA-cd
NA L13-2;KA-efghi
NA L1-4;KA-cd, DL-0a, VF-0abc, TU-0ab
NA L14-1;KA-cd, KA-efghi, MY-a
NA L14-2;KA-cd, MY-b
NA L14-3;KA-efghi, MY-b
NA L14-4;KA-cd, MY-cfg
NA L14-5;KA-efghi, MY-cfg
NA L1-5;KA-cd, DL-0a, VF-de, TU-0ab
NA L15-1;KA-cd, ST-0f
NA L15-2;KA-cd, ST-i
NA L15-3;KA-efghi, ST-0f
NA L15-4;KA-efghi, ST-i
NA L1-6;KA-cd, DL-bcde, VF-0abc, TU-0ab
NA L16-1;KA-cd, ST-0f, TV-0
NA L16-2;KA-cd, ST-i, TV-0
NA L16-3;KA-efghi, ST-0f, TV-0
NA L16-4;KA-efghi, ST-i, TV-0
NA L16-5;KA-cd, ST-0f, KA-efghi, TV-ab
NA L1-7;KA-efg, DL-0a, VF-0abc, TU-0ab
NA L17-1;MK-ab, ST-0f
NA L17-2;MK-ab, ST-i
NA L17-3;MK-c, ST-0f
NA L17-4;MK-de, ST-0f
NA L17-5;MK-de, ST-i
NA L17-6;MK-f, ST-0f
NA L17-7;MK-f, ST-i
NA L1-8;KA-efg, DL-0a, VF-de, TU-0ab
NA L1-9;KA-efg, DL-bcde, VF-0abc, TU-0ab
NA L2-1;KA-ab, DL-0a, DK-defghijkl, TU-0ab
NA L2-10;KA-ab, DL-bc, DK-mnopqr, TU-0ab
NA L2-11;KA-ab, DL-de, DK-mnopqr, TU-0ab
NA L2-12;KA-cd, DL-bc, DK-mnopqr, TU-0ab
NA L2-13;KA-cd, DL-de, DK-mnopqr, TU-0ab
NA L2-14;KA-ab, DL-bc, KA-cd, DK-stu, TU-0ab
NA L2-15;KA-efg, DL-0a, DK-defghijkl, TU-0ab
NA L2-16;KA-hi, DL-0a, DK-defghijkl, TU-0ab
NA L2-17;KA-efg, KA-hi, DL-0a, DK-abc, TU-0ab
NA L2-18;KA-efg, DL-bc, DK-defghijkl, TU-0ab
NA L2-19;KA-efg, DL-de, DK-defghijkl, TU-0ab
NA L2-2;KA-cd, DL-0a, DK-defghijkl, TU-0ab
NA L2-20;KA-hi, DL-bc, DK-defghijkl, TU-0ab
NA L2-21;KA-hi, DL-de, DK-defghijkl, TU-0ab
NA L2-22;KA-efg, KA-hi, DL-bc, DK-abc, TU-0ab
NA L2-23;KA-efg, DL-0a, DK-mnopqr, TU-0ab
NA L2-24;KA-hi, DL-0a, DK-mnopqr, TU-0ab
NA L2-25;KA-efg, KA-hi, DL-0a, DK-stu, TU-0ab
NA L2-26;KA-efg, DL-bc, DK-mnopqr, TU-0ab
NA L2-27;KA-efg, DL-de, DK-mnopqr, TU-0ab
NA L2-28;KA-hi, DL-bc, DK-mnopqr, TU-0ab
NA L2-29;KA-hi, DL-de, DK-mnopqr, TU-0ab
NA L2-3;KA-ab, DL-bc, DK-defghijkl, TU-0ab
NA L2-30;KA-efg, KA-hi, DL-bc, DK-stu, TU-0ab
NA L2-31;KA-ab, KA-cd, KA-efg, KA-hi, DL-0a, DL-bc, DK-abc, DK-defghijkl, TU-c¤
NA L2-4;KA-ab, DL-de, DK-defghijkl, TU-0ab
NA L2-5;KA-cd, DL-bc, DK-defghijkl, TU-0ab
NA L2-6;KA-cd, DL-de, DK-defghijkl, TU-0ab
NA L2-7;KA-ab, DL-0a, DK-mnopqr, TU-0ab
NA L2-8;KA-cd, DL-0a, DK-mnopqr, TU-0ab
NA L2-9;KA-ab, DL-0a, KA-cd, DK-stu, TU-0ab
NA L3-1;KA-abcd
NA L3-2;KA-efg
NA L3-3;KA-hi
NA L4-1;KA-abcd
NA L4-2;KA-efg
NA L4-3;KA-hi
NA L5-1;VT-a, KA-abcd
NA L5-2;VT-a, KA-efg
NA L5-3;VT-a, KA-hi
NA L5-4;VT-b, KA-abcd
NA L5-5;VT-b, KA-efg
NA L6-1;VT-a, KA-ab
NA L6-2;VT-a, KA-cd
NA L6-3;VT-a, KA-efg
NA L6-4;VT-a, KA-hi
NA L6-5;VT-b
NA L7-1;KA-ab
NA L7-2;KA-cd
NA L7-3;KA-efg
NA L7-4;KA-hi
NA L8-1;KA-abcd
NA L8-2;KA-efghi
NA L9-1;FK-0, OM-b
NA L9-2;FK-a, OM-¤
NA L9-3;FK-b, OM-¤
NA L9-4;FK-c, OM-¤
NA L9-5;FK-d, OM-¤
NA L9-6;FK-e, OM-¤
NA O1-1;KA-a, VF-bc, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-10;KA-cd, VF-d, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-11;KA-cd, VF-ef, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-12;KA-cd, VF-gh, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-13;KA-efgh, VF-bc, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-14;KA-efgh, VF-d, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-15;KA-efgh, VF-ef, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-16;KA-efgh, VF-gh, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-17;KA-a, KA-b, VF-bc, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-18;KA-a, KA-b, VF-d, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-19;KA-a, KA-b, VF-ef, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-2;KA-a, VF-d, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-20;KA-a, KA-b, VF-gh, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-21;KA-cd, KA-efgh, VF-bc, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-22;KA-cd, KA-efgh, VF-d, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-23;KA-cd, KA-efgh, VF-ef, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-24;KA-cd, KA-efgh, VF-gh, HU-bc¤, GS-0abcd, BU-0abc, TU-0ab
NA O1-25;KA-a, KA-b, VF-ef, VF-gh, HU-0a, GS-0abcd, BU-¤, TU-0ab
NA O1-26;KA-cd, KA-efgh, VF-ef, VF-gh, HU-0a, GS-0abcd, BU-¤, TU-0ab
NA O1-27;KA-a, KA-b, KA-cd, KA-efgh, VF-bc, VF-d, VF-ef, VF-gh, HU-0a, GS-0abcd, BU-0abc, TU-c¤
NA O1-28;KA-a, KA-b, KA-cd, KA-efgh, VF-bc, VF-d, VF-ef, VF-gh, HU-0a, GS-¤, BU-0abc, TU-0ab
NA O1-3;KA-a, VF-ef, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-4;KA-a, VF-gh, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-5;KA-b, VF-bc, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-6;KA-b, VF-d, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-7;KA-b, VF-ef, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-8;KA-b, VF-gh, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O1-9;KA-cd, VF-bc, HU-0a, GS-0abcd, BU-0abc, TU-0ab
NA O2-1;KA-a, KA-b, DK-defgh, NT-0ab, HU-0a, TU-0ab
NA O2-10;KA-cd, KA-efgh, DK-qr, NT-0ab, HU-0a, TU-0ab
NA O2-11;KA-cd, DK-stu, NT-0ab, HU-0a, TU-0ab
NA O2-12;KA-efgh, DK-stu, NT-0ab, HU-0a, TU-0ab
NA O2-13;KA-a, KA-b, KA-cd, KA-efgh, DK-defgh, NT-0ab, HU-bc¤, TU-0ab
NA O2-14;KA-a, KA-b, KA-cd, KA-efgh, DK-ijkl, NT-0ab, HU-bc¤, TU-0ab
NA O2-15;KA-a, KA-b, KA-cd, KA-efgh, DK-mnop, NT-0ab, HU-bc¤, TU-0ab
NA O2-16;KA-a, KA-b, KA-cd, KA-efgh, DK-qr, NT-0ab, HU-bc¤, TU-0ab
NA O2-17;KA-a, KA-b, DK-stu, NT-0ab, HU-bc¤, TU-0ab
NA O2-18;KA-cd, KA-efgh, DK-stu, NT-0ab, HU-bc¤, TU-0ab
NA O2-19;KA-a, KA-b, DK-ijkl, DK-ijkl, DK-mnop, DK-qr, DK-stu, NT-¤, HU-0a, HU-bc¤, TU-0ab
NA O2-2;KA-a, KA-b, DK-ijkl, NT-0ab, HU-0a, TU-0ab
NA O2-20;KA-cd, KA-efgh, DK-ijkl, DK-mnop, DK-qr, DK-stu, NT-¤, HU-0a, HU-bc¤, TU-0ab
NA O2-21;KA-a, KA-b, KA-cd, KA-efgh, DK-abc, DK-defgh, DK-ijkl, DK-mnop, DK-qr, DK-stu, NT-0ab, HU-0a, HU-bc¤
NA O2-3;KA-a, KA-b, DK-mnop, NT-0ab, HU-0a, TU-0ab
NA O2-4;KA-a, KA-b, DK-qr, NT-0ab, HU-0a, TU-0ab
NA O2-5;KA-a, DK-stu, NT-0ab, HU-0a, TU-0ab
NA O2-6;KA-b, DK-stu, NT-0ab, HU-0a, TU-0ab
NA O2-7;KA-cd, KA-efgh, DK-defgh, NT-0ab, HU-0a, TU-0ab
NA O2-8;KA-cd, KA-efgh, DK-ijkl, NT-0ab, HU-0a, TU-0ab
NA O2-9;KA-cd, KA-efgh, DK-mnop, NT-0ab, HU-0a, TU-0ab
NA O3-1;HU-0a, DK-ijklmnopqr, KI-de
NA O3-10;HU-bc¤, DK-¤, KI-de
NA O3-11;HU-bc¤, DK-abcdefgh, KI-¤
NA O3-12;HU-bc¤, DK-ijklmnopqr, KI-¤
NA O3-13;HU-bc¤, DK-stuv, KI-¤
NA O3-14;HU-bc¤, DK-¤, KI-¤
NA O3-2;HU-0a, DK-stuv, KI-de
NA O3-3;HU-0a, DK-¤, KI-de
NA O3-4;HU-0a, DK-ijklmnopqr, KI-¤
NA O3-5;HU-0a, DK-stuv, KI-¤
NA O3-6;HU-0a, DK-¤, KI-¤
NA O3-7;HU-bc¤, DK-abcdefgh, KI-de
NA O3-8;HU-bc¤, DK-ijklmnopqr, KI-de
NA O3-9;HU-bc¤, DK-stuv, KI-de
NA O4-1;JV-0a, DK-abcdefgh, FK-0
NA O4-2;JV-0a, DK-ijklmnopqr, FK-0
NA O4-3;JV-bc, DK-abcdefgh, FK-0
NA O4-4;JV-bc, DK-ijklmnopqr, FK-0
NA O4-5;JV-0a, DK-stuv, FK-0
NA O4-6;JV-0a, DK-¤, FK-0
NA O4-7;JV-bc, DK-stuv, FK-0
NA O4-8;JV-bc, DK-¤, FK-0
NA O4-9;DK-abcdefgh, DK-ijklmnopqr, DK-stuv, DK-¤, JV-0a, FK-f
NA O5-1;
NA O6-1;KA-abcd, ST-0f, TU-0ab
NA O6-2;KA-abcd, ST-i, TU-0ab
NA O6-3;KA-efgh, ST-0f, TU-0ab
NA O6-4;KA-efgh, ST-i, TU-0ab
NA O6-5;KA-abcd, ST-0f, KA-efgh, TU-c¤
NA O7-1;MK-ab, ST-0f
NA O7-2;MK-ab, ST-i
NA O7-3;MK-f, ST-0f
NA O7-4;MK-f, ST-i
