HTK;Navn;PrK;PrK-tekst;GrL;Definisjonsgrunnlag-tekst;dLKM;hLKM;tLKM;uLKM;Kunnskapsgrunnlag - Hovedtypen generelt;Kunnskapsgrunnlag - Grunntypeinndelingen
H4;Sterkt endrete marine vannmasser;12a;Sterkt endret system uten eller med svake spor etter av hevd - Rask suksesjon;N;sterk menneskebetinget forstyrrelse;SY;;SY ;SM,SA;2;1
F1;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;KA, FS3;HU;SA, TU, OM;;
F2;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;KA, FS3;HU;SA, TU;;
F3;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;2;Variasjon i artssammensetning betinget av strukturerende artsgruppe ;A;normal, strukturerende artsgruppe;;KA;HU;SA, TU, OM;;
F4;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;2;Variasjon i artssammensetning betinget av strukturerende artsgruppe ;A;normal, strukturerende artsgruppe;;KA;HU, SM, VT;SA, TU, OM;;
F5;Turbide vannmasser;3;Preget av miljøstress ;S;miljøstressbetinget;TU, KO;;TU, KA;;;
F6;Grottesjø-vannmasser;3;Preget av miljøstress ;S;miljøstressbetinget;GS;;;;;
F7;Innsjø-vannmasser preget av oksygenmangel;3;Preget av miljøstress ;S;miljøstressbetinget;OM;FK;OM;;;
F8;Elvevannmasser;4;Preget av aktiv regulerende forstyrrelse ;D;betinget av destabiliserende forstyrrelse;HY;;FS;HU, KA, SA, TU;;
F9;Nye innsjø-vannmasser;5;Preget av aktiv destabiliserende forstyrrelse ;N;sterk menneskebetinget forstyrrelse;MY, HY;;HY, FS. KA;;;
F10;Innsjø-vannmasser preget av kronisk kjemisk påvirkning;5;Preget av aktiv regulerende forstyrrelse ;N;sterk menneskebetinget forstyrrelse;MK;MK;KA;;;
F11;Innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer;5;Preget av aktiv destabiliserende forstyrrelse ;N;sterk menneskebetinget forstyrrelse;MB;;KA;FS, MB;;
F12;Elvevannmasser preget av kronisk kjemisk påvirkning;5;Preget av aktiv regulerende forstyrrelse ;N;sterk menneskebetinget forstyrrelse;MK;;;KA, VF;;
F13;Elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer;5;Preget av aktiv destabiliserende forstyrrelse ;N;sterk menneskebetinget forstyrrelse;MB;;KA;VF, FS, MB;;
L1;Eufotisk fast innsjøbunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;KA;DL, VF, TU;BU, HU, SA, SO;;
L2;Eufotisk innsjø-sedimentbunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;DK, KA;TU, KA;DT, HI, HU, IF, NE, SA, SO,HH;;
L3;Afotisk (dyp) innsjø-sedimentbunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;KA;;DA, HU, TU;;
L4;Helofyttsump;2;Variasjon i artssammensetning betinget av strukturerende artsgruppe ;A;normal, strukturerende artsgruppe;;KA;;DA, HU, TU;;
L5;Ferskvanns-undervannseng;2;Variasjon i artssammensetning betinget av strukturerende artsgruppe ;A;normal, strukturerende artsgruppe;;KA;VT;;;
L6;Gjøl-bunn på fast torv;3;Preget av miljøstress ;S;miljøstressbetinget;ST;KA;VT;IF;;
L7;Innsjøbunn av dy og gytje;3;Preget av miljøstress ;S;miljøstressbetinget;ST;KA;;DL, IF;;
L8;Innsjøbunn av grovt organisk materiale;3;Preget av miljøstress ;S;miljøstressbetinget;ST;KA;;;;
L9;Innsjøbunn preget av oksygenmangel;3;Preget av miljøstress ;S;miljøstressbetinget;OM;FK;OM;;;
L10;Arktisk permafrost-innsjøbunn;3;Preget av miljøstress ;S;miljøstressbetinget;PF;;;;;
L11;Ny innsjøbunn;6;Preget av historisk forstyrrelse ;XD;betinget av destabiliserende historisk forstyrrelse;NH;;ST;KA, RU, SU;;
L12;Semi-naturlig eutrof innsjøbunn;10;Moderat endret system med historisk dybde (semi-naturlig system) ;M;semi-naturlig mark uten hevdpreg;HG;;;KA, DK;;
L13;Semi-naturlig vannstrand-eng;10;Moderat endret system med historisk dybde (semi-naturlig system) ;MHJ;semi-naturlig jordbruksmark;HH, HT;;KA;;;
L14;Ny sterkt endret innsjøbunn;12;Preget av fysisk påvirkning ;N;sterk menneskebetinget forstyrrelse;MY, HY;MY;KA;DK;;
L15;Ny innsjøbunn med opphav i elvebunn;12;Preget av fysisk påvirkning ;N;sterk menneskebetinget forstyrrelse;MY, HY;;ST, KA;DK;;
L16;Innsjøbunn preget av kronisk fysisk forstyrrelse;12;Preget av fysisk påvirkning ;N;sterk menneskebetinget forstyrrelse;MY, HY;;TV, ST, KA;DK;;
L17;Innsjøbunn preget av kronisk kjemisk påvirkning;12;Preget av fysisk påvirkning ;N;sterk menneskebetinget forstyrrelse;MK;MK;ST;KA, DK;;
O1;Fast elvebunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;KA, VF;HU, BU, TU, GS;NT, SA;;
O2;Elvesedimentbunn;1;Variasjon i artssammensetning ikke betinget av strukturerende artsgruppe ;0;normal hovedtype;;DK, KA;HU, TU, NT;SA, SO;;
O3;Ferskvannskildebunn;3;Preget av miljøstress ;S;miljøstressbetinget;KI;DK, KA;KA, KI;;;
O4;Varm ferskvannskildebunn;3;Preget av miljøstress ;S ;miljøstressbetinget;JV, KI;DK, KA;JV, FK;KA, KI;;
O5;Ny sedimentbunn i elv;6;Preget av historisk forstyrrelse ;XD;betinget av destabiliserende historisk forstyrrelse;NH;;ST;KA, RU, SU;;
O6;Elvebunn preget av kronisk fysisk forstyrrelse;12;Preget av fysisk påvirkning ;N;sterk menneskebetinget forstyrrelse;MY;;ST, KA, TU;DK, VF;;
O7;Elvebunn preget av kronisk fysikalsk-kjemisk påvirkning;12;Preget av fysisk påvirkning ;N;sterk menneskebetinget forstyrrelse;MK;;MK, ST;KA, DK, VF;;
