natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;kartleggingsenhetMalestokk;kartleggingsenhetKode;kartleggingsenhetDef
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-5;tørt kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-4;indre del av dyp karstgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-3;mindre kalkrikt grottedyp
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-2;sterkt kalkrike ikke tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-1;kalkfattige til svakt kalkrike tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-7;tørt sterkt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-6;tørt intermediært og svakt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-5;tørt kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-4;indre del av dyp karstgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-3;mindre kalkrikt grottedyp
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-2;sterkt kalkrike ikke tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk5000;NA T5-C-1;kalkfattige til svakt kalkrike tørkeutsatte grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-6;tørt intermediært og svakt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-10;tørt sterkt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-8;tørt kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-7;indre del av dyp kartsgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-6;mindre kalkrikt grottedyp
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-5;karstgrotte og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-4;mindre kalkrik grotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-3;sterkt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-2;intermediært og svakt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-1;Kalkfattig overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk2500;NA T5-B-9;tørt intermediært og svakt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk10000;NA T5-D-7;tørt sterkt kalkrikt overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk20000;NA T5-E-1;kalkfattige til svakt kalkrike grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk20000;NA T5-E-2;sterkt kalkrike grotter og overheng
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk20000;NA T5-E-4;indre del av dyp karstgrotte
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Malestokk20000;NA T5-E-3;mindre kalkrikt grottedyp
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Malestokk2500;NA T44-B-1;åker
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Malestokk5000;NA T44-C-1;åker
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Malestokk10000;NA T44-D-1;åker
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Malestokk20000;NA T44-E-1;åker
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk20000;NA T20-E-2;kalkrik isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk20000;NA T20-E-1;kalkfattig og intermediær isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk10000;NA T20-D-2;kalkrik isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk10000;NA T20-D-1;kalkfattig og intermediær isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk5000;NA T20-C-2;kalkrik isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk5000;NA T20-C-1;kalkfattig og intermediær isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk2500;NA T20-B-2;kalkrik isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Malestokk2500;NA T20-B-1;kalkfattig og intermediær isinnfrysingsmark
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk20000;NA T19-E-2;kalkrike finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk20000;NA T19-E-1;kalkfattige finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk10000;NA T19-D-2;kalkrike finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk10000;NA T19-D-1;kalkfattige finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk5000;NA T19-C-2;kalkrike finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk5000;NA T19-C-1;kalkfattige finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk2500;NA T19-B-2;kalkrike finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Malestokk2500;NA T19-B-1;kalkfattige finjordsflekker
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk20000;NA T18-E-1;åpne flomfastmarker
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk10000;NA T18-D-4;åpen flomfastmark på sand med klart erosjonspreg
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk10000;NA T18-D-3;åpen flomfastmark på kalkrik grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk10000;NA T18-D-2;åpen flomfastmark på silt og leire
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk10000;NA T18-D-1;åpne flomfastmarker på sand, grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk5000;NA T18-C-4;åpen flomfastmark på sand med klart erosjonspreg
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk20000;NA T18-E-2;åpen flomfastmark på kalkrik grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk5000;NA T18-C-3;åpen flomfastmark på kalkrik grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk5000;NA T18-C-1;åpne flomfastmarker på sand, grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk2500;NA T18-B-6;åpen flomfastmakr på sand med klart erosjonspreg
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk2500;NA T18-B-5;åpen flomfastmark på kalkrik grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk2500;NA T18-B-4;sterkt eksponert åpen flomfastmark
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk2500;NA T18-B-3;åpen flomfastmark på  silt og leire
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk2500;NA T18-B-2;åpen flomfastmark på sand
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk5000;NA T18-C-2;åpen flomfastmark på silt og leire
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk20000;NA T18-E-3;åpen flomfastmark på sand med klart erosjonspreg
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Malestokk2500;NA T18-B-1;åpne flomfastmarker på grus og stein
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk2500;NA T17-B-1;jordskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk20000;NA T17-E-3;silt- og leirskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk20000;NA T17-E-2;grus- og sandskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk20000;NA T17-E-1;jordskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk10000;NA T17-D-3;silt- og leirskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk10000;NA T17-D-2;grus- og sandskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk10000;NA T17-D-1;jordskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk5000;NA T17-C-3;silt- og leirskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk5000;NA T17-C-2;grus- og sandskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk5000;NA T17-C-1;jordskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk2500;NA T17-B-4;silt- og leirskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk2500;NA T17-B-3;sandskred
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Malestokk2500;NA T17-B-2;grusskred
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk20000;NA T16-E-1;rasmarkenger og -heier
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk10000;NA T16-D-4;sterkt raspreget rasmerkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk10000;NA T16-D-3;kalkrike rasmarkenger og -heier
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk10000;NA T16-D-2;intermediære rasmarkenger og -heier
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk10000;NA T16-D-1;kalkfattig rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-7;sterkt raspreget rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-5;kildepåvirket intermediær rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-4;sterkt kalkrik rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-3;svakt kalkrik rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-2;intermediær rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-1;kalkfattig rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-7;sterkt raspreget rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk5000;NA T16-C-6;kildepåvirket kalkrik rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-6;kildepåvirket kalkrik rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-5;kildepåvirket intermediær rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-3;svakt kalkrik rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-2;intermediær rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-1;kalkfattig rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Rasmarkhei og -eng;NA T16;Malestokk2500;NA T16-B-4;sterkt kalkrik rasmarkeng og -hei
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk5000;NA T15-C-1;kalkfattig og intermediær fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk2500;NA T15-B-2;kalkrik fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk2500;NA T15-B-1;kalkfattig og intermediær fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk5000;NA T15-C-2;kalkrik fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk10000;NA T15-D-1;kalkfattig og intermediær fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk10000;NA T15-D-2;kalkrik fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk20000;NA T15-E-1;kalkfattig og intermediær fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Fosse-eng;NA T15;Malestokk20000;NA T15-E-2;kalkrik fosse-eng
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk2500;NA T14-B-1;kalkfattig og intermediær rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk2500;NA T14-B-2;kalkrik rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk2500;NA T14-B-3;deflasjonsrabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk20000;NA T14-E-2;kalkrik rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk20000;NA T14-E-1;kalkfattig og intermediær rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk10000;NA T14-D-2;kalkrik rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk10000;NA T14-D-1;kalkfattig og intermediær rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk5000;NA T14-C-2;kalkrik rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rabbe;NA T14;Malestokk5000;NA T14-C-1;kalkfattig og intermediær rabbe
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-1;tørkeutsatte kalkfattige grove rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-15;sterkt kalkrik fuktig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-14;sterkt kalkrik fuktig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-13;intermediær og svakt kalkrik fuktig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-12;intermediær og svakt kalkrik fuktig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-11;kalkfattig fuktig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-2;kalkfattig grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-10;kalkfattig fuktig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-8;sterkt kalkrik ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-7;sterkt kalkrik grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-6;intermediær og svakt kalkrik grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-5;intermediær og svakt kalkrik ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-4;intermediær og svakt kalkrik grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-3;kalkfattig grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-9;sterkt kalkrik grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-2;kalkfattig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-3;tørkeutsatte intermediære og svcakt kalkrike grove rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-5;tørkeutsatte sterkt kalkrike grove rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-9;lite tørkeutsatte sterkt kalkrike rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-8;lite tørkeutsatte intermediære og svkat kalkrike rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-7;lite tørkeutsatte kalkfattige rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-6;sterkt kalkrik grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-5;tørkeutsatte sterkt kalkrike grove rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-4;intermediær og svakt kalkrik ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-4;intermediær og svakt kalkrik ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-2;kalkfattig grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-1;tørkeutsatte kalkfattige grove rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-9;lite tørkeutsatte sterkt kalkrike rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-8;lite tørkeutsatte intermediære og svkat kalkrike rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-7;lite tørkeutsatte kalkfattige rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk10000;NA T13-D-6;sterkt kalkrik grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk20000;NA T13-E-3;tørkeutsatte intermediære og svcakt kalkrike grove rasmarker
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk5000;NA T13-C-1;kalkfattig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-18;ustabil grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-17;ustabil ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-1;kalkfattig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-16;ustabil grov ut
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-15;sterkt kalkrik fuktig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-14;sterkt kalkrik fuktig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-13;intermediær og svakt kalkrik fuktig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-12;intermediær og svakt kalkrik fuktig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-11;kalkfattig fuktig ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-10;kalkfattig fuktig grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-9;sterkt kalkrik grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-8;sterkt kalkrik ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-7;sterkt kalkrik grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-6;intermediær og svakt kalkrik grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-5;intermediær og svakt kalkrik ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-4;intermediær og svakt kalkrik grov ur
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-3;kalkfattig grus- og sanddominert rasmark
Natursystem;NA;Fastmarkssystemer;NA T;Rasmark;NA T13;Malestokk2500;NA T13-B-2;kalkfattig ur
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk20000;NA T12-E-1;strandenger
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk2500;NA T12-B-1;nedre strandeng
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk2500;NA T12-B-3;øvre strandeng
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk2500;NA T12-B-4;øverste strandeng
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk5000;NA T12-C-1;strandenger i nedre og midtre geolitoral
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk5000;NA T12-C-2;strandenger i øvre geolitoral og supralitoral
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk10000;NA T12-D-1;strandenger i nedre og midtre geolitoral
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk10000;NA T12-D-2;strandenger i øvre geolitoral og supralitoral
Natursystem;NA;Fastmarkssystemer;NA T;Strandeng;NA T12;Malestokk2500;NA T12-B-2;midtre strandeng
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk20000;NA T11-E-1;saltanrikningsmarker
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk10000;NA T11-D-2;øvre saltanrikingsmark på grus
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk5000;NA T11-C-1;saltanrikingsmarker i geolitoral
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk5000;NA T11-C-2;øvre saltanrikingsmark på grus
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk10000;NA T11-D-1;saltanrikingsmarker i geolitoral
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk2500;NA T11-B-1;nedre saltanrikningsmark på grus
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk2500;NA T11-B-2;øvre saltanrikingsmark på grus
Natursystem;NA;Fastmarkssystemer;NA T;Saltanrikingsmark i fjæresonen;NA T11;Malestokk2500;NA T11-B-3;saltanrikningsmark på bløtbunn
Natursystem;NA;Fastmarkssystemer;NA T;Arktisk steppe;NA T10;Malestokk20000;NA T10-E-1;arktiske stepper
Natursystem;NA;Fastmarkssystemer;NA T;Arktisk steppe;NA T10;Malestokk10000;NA T10-D-1;arktiske stepper
Natursystem;NA;Fastmarkssystemer;NA T;Arktisk steppe;NA T10;Malestokk2500;NA T10-B-1;beskyttet arktisk steppe
Natursystem;NA;Fastmarkssystemer;NA T;Arktisk steppe;NA T10;Malestokk2500;NA T10-B-2;rabbe i arktisk steppe
Natursystem;NA;Fastmarkssystemer;NA T;Arktisk steppe;NA T10;Malestokk5000;NA T10-C-1;arktiske stepper
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk2500;NA T9-B-1;fattig-intermediær mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk10000;NA T9-D-2;kalkrik mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk10000;NA T9-D-1;fattig-intermediær mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk2500;NA T9-B-2;kalkrik mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk5000;NA T9-C-1;fattig-intermediær mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk5000;NA T9-C-2;kalkrik mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk20000;NA T9-E-2;kalkrik mosetundra
Natursystem;NA;Fastmarkssystemer;NA T;Mosetundra;NA T9;Malestokk20000;NA T9-E-1;fattig-intermediær mosetundra
