natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;miljovariabelType;miljovariabelHovedtype;miljovariabelKode;miljovariabelNavn;trinnKode;trinnNavn;basistrinnNavn
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;VF;Vannpåvirkningsintensitet;M14-VF_2;eksponert;VF-f
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;VF;Vannpåvirkningsintensitet;M14-VF_2;eksponert;VF-g
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;VF;Vannpåvirkningsintensitet;M14-VF_2;eksponert;VF-h
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;VF;Vannpåvirkningsintensitet;M14-VF_2;eksponert;VF-¤
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;SA;Marin salinitet;M14-SA_2;salt;SA-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;SA;Marin salinitet;M14-SA_2;salt;SA-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;SA;Marin salinitet;M14-SA_2;salt;SA-f
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;SA;Marin salinitet;M14-SA_1;brakt;SA-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;SA;Marin salinitet;M14-SA_1;brakt;SA-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;SA;Marin salinitet;M14-SA_1;brakt;SA-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_3;;DL-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_3;;DL-+
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_2;;DL-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_2;;DL-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_2;;DL-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_2;;DL-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny fast saltvannsbunn;NA M14;Miljøvariabel;NA M14;DL;Dybderelatert lyssvekking;M14-DL_1;;DL-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;SA;Marin salinitet;M15-SA_1;brakt;SA-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;SA;Marin salinitet;M15-SA_1;brakt;SA-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;SA;Marin salinitet;M15-SA_1;brakt;SA-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;SA;Marin salinitet;M15-SA_2;salt;SA-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;SA;Marin salinitet;M15-SA_2;salt;SA-f
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;SA;Marin salinitet;M15-SA_2;salt;SA-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3F;Finmaterialinnhold;M15-S3F_1;;S3F-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3F;Finmaterialinnhold;M15-S3F_1;;S3F-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3F;Finmaterialinnhold;M15-S3F_1;;S3F-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3F;Finmaterialinnhold;M15-S3F_2;;S3F-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3F;Finmaterialinnhold;M15-S3F_2;;S3F-¤
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;HS;Hovedtypespesifikk inndeling;M15-HS_1;;HS-A
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;HS;Hovedtypespesifikk inndeling;M15-HS_2;;HS-B
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_1;tidevannsbeltet;DL-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_2;eufotisk belte;DL-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_2;eufotisk belte;DL-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_2;eufotisk belte;DL-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_2;eufotisk belte;DL-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_3;afotisk belte;DL-+
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;DL;Dybderelatert lyssvekking;M15-DL_3;afotisk belte;DL-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3E;Erosjonsmotstand;M15-S3E_1;;S3E-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3E;Erosjonsmotstand;M15-S3E_1;;S3E-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3E;Erosjonsmotstand;M15-S3E_1;;S3E-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3E;Erosjonsmotstand;M15-S3E_1;;S3E-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3E;Erosjonsmotstand;M15-S3E_1;;S3E-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Sterkt endret eller ny marin sedimentbunn;NA M15;Miljøvariabel;NA M15;S3E;Erosjonsmotstand;M15-S3E_2;;S3E-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;OM;Oksygenmangel;M12-OM_2;;OM-¤
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;OM;Oksygenmangel;M12-OM_1;;OM-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;JV;Jordvarmeinnflytelse;M12-JV_3;;JV-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;JV;Jordvarmeinnflytelse;M12-JV_3;;JV-¤
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;JV;Jordvarmeinnflytelse;M12-JV_2;;JV-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;JV;Jordvarmeinnflytelse;M12-JV_2;;JV-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;JV;Jordvarmeinnflytelse;M12-JV_1;;JV-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;JV;Jordvarmeinnflytelse;M12-JV_1;;JV-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_3;;DM-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_3;;DM-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_3;;DM-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_3;;DM-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_3;;DM-f
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_2;;DM-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Varm havkilde;NA M12;Miljøvariabel;NA M12;DM;Dybderelatert miljøstabilisering;M12-DM_1;;DM-0
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_1;;KA-a
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_1;;KA-b
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_1;;KA-c
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_3;;KA-h
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_3;;KA-i
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_2;;KA-d
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_2;;KA-e
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_2;;KA-f
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;KA;Kalkinnhold;T5-KA_2;;KA-g
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;GS;Grottebetinget skjerming;T5-GS_3;;GS-¤
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;GS;Grottebetinget skjerming;T5-GS_2;;GS-b
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;GS;Grottebetinget skjerming;T5-GS_2;;GS-c
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;GS;Grottebetinget skjerming;T5-GS_2;;GS-d
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;GS;Grottebetinget skjerming;T5-GS_1;;GS-a
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;BK;Berggrunn med avvikende kjemisk sammensetning;T5-BK_4;kobber-rikt;BK-c
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;BK;Berggrunn med avvikende kjemisk sammensetning;T5-BK_3;jern-rikt;BK-b
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;BK;Berggrunn med avvikende kjemisk sammensetning;T5-BK_2;ultramafisk;BK-a
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;BK;Berggrunn med avvikende kjemisk sammensetning;T5-BK_1;‘normal’ berggrunn;BK-0
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_1;;UE-a
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_1;;UE-0
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_1;;UE-b
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_1;;UE-c
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_2;;UE-d
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_2;;UE-e
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_2;;UE-g
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;UE;Uttørkingseksponering;T5-UE_2;;UE-f
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_2;konsoliderings- og ettersuksesjonsfase;LA-+
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_2;konsoliderings- og ettersuksesjonsfase;LA-f
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_2;konsoliderings- og ettersuksesjonsfase;LA-e
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_1;pionérfase;LA-b
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_1;pionérfase;LA-d
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_1;pionérfase;LA-c
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_1;pionérfase;LA-0
Natursystem;NA;Fastmarkssystemer;NA T;Grotte og overheng;NA T5;Miljøvariabel;NA T5;LA;Langsom primær suksesjon;T5-LA_1;pionérfase;LA-a
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;VM;Vannmetning;T44-VM_2;fuktmark;VM-b
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;VM;Vannmetning;T44-VM_1;veldrenert mark;VM-a
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;VM;Vannmetning;T44-VM_1;veldrenert mark;VM-0
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;S1;Dominerende kornstørrelsesklasse;T44-S1_3;jord med høyt silt- og leirinnhold;S1-i
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;S1;Dominerende kornstørrelsesklasse;T44-S1_3;jord med høyt silt- og leirinnhold;S1-h
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;S1;Dominerende kornstørrelsesklasse;T44-S1_2;jord med høyt innhold av fin grus og sand;S1-g
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;S1;Dominerende kornstørrelsesklasse;T44-S1_2;jord med høyt innhold av fin grus og sand;S1-f
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;S1;Dominerende kornstørrelsesklasse;T44-S1_2;jord med høyt innhold av fin grus og sand;S1-e
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;S1;Dominerende kornstørrelsesklasse;T44-S1_1;mineraljordfattig jord;S1-0
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;KA;Kalkinnhold;T44-KA_1;kalkfattig og intermediær;KA-e
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;KA;Kalkinnhold;T44-KA_1;kalkfattig og intermediær;KA-d
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;KA;Kalkinnhold;T44-KA_1;kalkfattig og intermediær;KA-c
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;KA;Kalkinnhold;T44-KA_2;kalkrik;KA-g
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;KA;Kalkinnhold;T44-KA_2;kalkrik;KA-f
Natursystem;NA;Fastmarkssystemer;NA T;Åker;NA T44;Miljøvariabel;NA T44;KA;Kalkinnhold;T44-KA_2;kalkrik;KA-h
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Miljøvariabel;NA T20;KA;Kalkinnhold;T20-KA_2;;KA-f
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Miljøvariabel;NA T20;KA;Kalkinnhold;T20-KA_2;;KA-g
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Miljøvariabel;NA T20;KA;Kalkinnhold;T20-KA_2;;KA-h
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Miljøvariabel;NA T20;KA;Kalkinnhold;T20-KA_1;;KA-c
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Miljøvariabel;NA T20;KA;Kalkinnhold;T20-KA_1;;KA-d
Natursystem;NA;Fastmarkssystemer;NA T;Isinnfrysingsmark;NA T20;Miljøvariabel;NA T20;KA;Kalkinnhold;T20-KA_1;;KA-e
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;S1;Dominerende kornstørrelsesklasse;T19-S1_1;;S1-c
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;S1;Dominerende kornstørrelsesklasse;T19-S1_1;;S1-d
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;S1;Dominerende kornstørrelsesklasse;T19-S1_2;;S1-h
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_1;;KA-e
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_1;;KA-d
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_1;;KA-c
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_1;;KA-b
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_2;;KA-h
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_2;;KA-g
Natursystem;NA;Fastmarkssystemer;NA T;Oppfrysingsmark;NA T19;Miljøvariabel;NA T19;KA;Kalkinnhold;T19-KA_2;;KA-f
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;FR;Flomregime;T18-FR_1;;FR-0
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;FR;Flomregime;T18-FR_2;;FR-a
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;HI;Hevdintensitet;T18-HI_1;uten hevdpreg;HI-0
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;HI;Hevdintensitet;T18-HI_2;tydelig beitepreget;HI-a
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;IF;Isbetinget forstyrrelse;T18-IF_1;uten isforstyrrelsespreg;IF-0
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;IF;Isbetinget forstyrrelse;T18-IF_2;litt eller klart isforstyrrelsespreget;IF-a
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;IF;Isbetinget forstyrrelse;T18-IF_2;litt eller klart isforstyrrelsespreget;IF-b
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_1;;KA-b
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_1;;KA-c
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_1;;KA-e
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_1;;KA-d
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_2;;KA-h
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_2;;KA-g
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KA;Kalkinnhold;T18-KA_2;;KA-f
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KI;Kildevannspåvirkning;T18-KI_1;uten eller bare med observerbar kildevannspåvirkning;KI-a
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KI;Kildevannspåvirkning;T18-KI_1;uten eller bare med observerbar kildevannspåvirkning;KI-0
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KI;Kildevannspåvirkning;T18-KI_2;svak kildevannspåvirkning;KI-c
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;KI;Kildevannspåvirkning;T18-KI_2;svak kildevannspåvirkning;KI-b
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_1;;S1-e
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_1;;S1-d
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_1;;S1-c
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_2;;S1-f
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_2;;S1-g
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_3;;S1-i
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;S1;Dominerende kornstørrelsesklasse;T18-S1_3;;S1-h
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;VF;Vannpåvirkningsintensitet;T18-VF_1;;VF-f
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;VF;Vannpåvirkningsintensitet;T18-VF_2;;VF-¤
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;VF;Vannpåvirkningsintensitet;T18-VF_2;;VF-h
Natursystem;NA;Fastmarkssystemer;NA T;Åpen flomfastmark;NA T18;Miljøvariabel;NA T18;VF;Vannpåvirkningsintensitet;T18-VF_2;;VF-g
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Miljøvariabel;NA T17;KA;Kalkinnhold;T17-KA_1;kalkfattig og intermediær;KA-e
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Miljøvariabel;NA T17;KA;Kalkinnhold;T17-KA_1;kalkfattig og intermediær;KA-d
Natursystem;NA;Fastmarkssystemer;NA T;Aktiv skredmark;NA T17;Miljøvariabel;NA T17;KA;Kalkinnhold;T17-KA_1;kalkfattig og intermediær;KA-c
