natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;grunntypeNavn;grunntypeKode
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;svært kalkfattig nedre tuenivå;NA V1-4
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkrik mykmatte og nedre fastmatte i myrkant;NA V1-27
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;intermediær øvre fastmatte og nedre tuenivå i myrkant;NA V1-26
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;intermediær mykmatte og nedre fastmatte i myrkant;NA V1-25
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkfattig øvre fastmatte og nedre tuenivå i myrkant;NA V1-24
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkfattig mykmatte og nedre fastmatte i myrkant;NA V1-23
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;svært kalkfattig øvre fastmatte og tuer i myrkant;NA V1-22
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;kalkrik nedre tuenivå;NA V1-20
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;svært kalkrik øvre fastmatte;NA V1-19
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;svært kalkrik nedre fastmatte;NA V1-18
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;svært kalkrik mykmatte;NA V1-17
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkrik øvre fastmatte;NA V1-16
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkrik nedre fastmatte;NA V1-15
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkrik mykmatte;NA V1-14
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;intermediær nedre tuenivå;NA V1-13
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;intermediær øvre fastmatte;NA V1-12
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;intermediær nedre fastmatte;NA V1-11
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;svært kalkfattig mykmatte og nedre fastmatte i myrkant;NA V1-21
Natursystem;NA;Våtmarkssystemer;NA V;Åpen jordvannsmyr;NA V1;nokså kalkfattig mykmatte;NA V1-6
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i sterkt endret fastmarkssystem som ikke er jordbruksmark med torvdannelse;NA V13-2
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i sterkt endret fastmarkssystem som ikke er jordbruksmark;NA V13-1
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i jordbruksmark på fastmark;NA V13-3
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i jordbruksmark på fastmark med torvdannelse;NA V13-4
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i neddemt skogsmark med torvdannelse;NA V13-6
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i ferskvannsbunn med torvdannelse;NA V13-8
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i ferskvannsbunn;NA V13-7
Natursystem;NA;Våtmarkssystemer;NA V;Ny våtmark;NA V13;ny våtmark med opprinnelse i neddemt skogsmark;NA V13-5
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av kronisk kjemisk påvirkning;NA F10;Kronisk kjemisk påvirkede innsjø-vannmasser;NA F10-1
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av kronisk kjemisk påvirkning;NA F10;Kronisk saltpåvirkede innsjø-vannmasser;NA F10-2
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av kronisk kjemisk påvirkning;NA F10;Kronisk eutrofierte innsjø-vannmasser;NA F10-3
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av kronisk kjemisk påvirkning;NA F10;Kronisk forsurede innsjø-vannmasser;NA F10-4
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn;NA F1-1
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Noe kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn;NA F1-10
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F11;Sterkt endrede kalkfattige innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F11-1
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Moderat kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn;NA F1-11
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F11;Sterkt endrede kalkrike innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F11-2
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkrike lagdelte vannmasser med middels komplekst fiskesamfunn;NA F1-12
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn;NA F1-13
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn;NA F1-14
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Noe kalkfattige og klare lagdelte vannmasser med komplekst fiskesamfunn;NA F1-15
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Noe kalkfattige og humøse lagdelte vannmasser med komplekst fiskesamfunn;NA F1-16
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Moderat kalkrike lagdelte vannmasser med komplekst fiskesamfunn;NA F1-17
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkrike lagdelte vannmasser med komplekst fiskesamfunn;NA F1-18
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn;NA F1-2
Natursystem;NA;Limniske vannmasser;NA F;Elvevannmasser preget av kronisk kjemisk påvirkning;NA F12;Sterkt forsurede elvevannmasser;NA F12-1
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Noe kalkfattige og klare lagdelte vannmasser med enkelt fiskesamfunn;NA F1-3
Natursystem;NA;Limniske vannmasser;NA F;Elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F13;Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F13-1
Natursystem;NA;Limniske vannmasser;NA F;Elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F13;Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer;NA F13-2
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Noe kalkfattige og humøse lagdelte vannmasser med enkelt fiskesamfunn;NA F1-4
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Moderat kalkrike lagdelte vannmasser med enkelt fiskesamfunn;NA F1-5
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkrike lagdelte vannmasser med enkelt fiskesamfunn;NA F1-6
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn;NA F1-7
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Svært kalkfattige og humøse lagdelte vannmasser med middels komplekst fiskesamfunn;NA F1-8
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn;NA F1;Noe kalkfattige og klare lagdelte vannmasser med middels komplekst fiskesamfunn;NA F1-9
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn;NA F2-1
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Noe kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn;NA F2-10
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Moderat kalkrike grunne vannmasser med middels komplekst fiskesamfunn;NA F2-11
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkrike grunne vannmasser med middels komplekst fiskesamfunn;NA F2-12
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn;NA F2-13
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn;NA F2-14
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Noe kalkfattige og klare grunne vannmasser med komplekst fiskesamfunn;NA F2-15
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Noe kalkfattige og humøse grunne vannmasser med komplekst fiskesamfunn;NA F2-16
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Moderat kalkrike grunne vannmasser med komplekst fiskesamfunn;NA F2-17
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkrike grunne vannmasser med komplekst fiskesamfunn;NA F2-18
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn;NA F2-2
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Noe kalkfattige og klare grunne vannmasser med enkelt fiskesamfunn;NA F2-3
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Noe kalkfattige og humøse grunne vannmasser med enkelt fiskesamfunn;NA F2-4
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Moderat kalkrike grunne vannmasser med enkelt fiskesamfunn;NA F2-5
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkrike grunne vannmasser med enkelt fiskesamfunn;NA F2-6
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn;NA F2-7
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Svært kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn;NA F2-8
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn;NA F2;Noe kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn;NA F2-9
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;NA F3;Svært kalkfattige og klare lagdelte vannmasser uten fisk;NA F3-1
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;NA F3;Svært kalkfattige og humøse lagdelte vannmasser uten fisk;NA F3-2
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;NA F3;Noe kalkfattige og klare lagdelte vannmasser uten fisk;NA F3-3
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;NA F3;Noe kalkfattige og humøse lagdelte vannmasser uten fisk;NA F3-4
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;NA F3;Moderat kalkrike lagdelte vannmasser uten fisk;NA F3-5
Natursystem;NA;Limniske vannmasser;NA F;Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser;NA F3;Svært kalkrike lagdelte vannmasser uten fisk;NA F3-6
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkfattige og klare store grunne vannmasser uten fisk;NA F4-1
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkfattige og humøse små grunne vannmasser uten fisk;NA F4-10
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Noe kalkfattige og humøse store grunne vannmasser uten fisk;NA F4-11
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Noe kalkfattige og humøse små grunne vannmasser uten fisk;NA F4-12
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Moderat kalkrike og humøse store grunne vannmasser uten fisk;NA F4-13
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Moderat kalkrike og humøse små grunne vannmasser uten fisk;NA F4-14
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkrike og humøse store grunne vannmasser uten fisk;NA F4-15
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkrike og humøse små grunne vannmasser uten fisk;NA F4-16
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Små og grunne humøse vannmasser uten fisk (høljegjøl);NA F4-17
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkfattige og klare små grunne vannmasser uten fisk;NA F4-2
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Noe kalkfattige og klare store grunne vannmasser uten fisk;NA F4-3
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Noe kalkfattige og klare små grunne vannmasser uten fisk;NA F4-4
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Moderat kalkrike og klare store grunne vannmasser uten fisk;NA F4-5
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Moderat kalkrike og klare små grunne vannmasser uten fisk;NA F4-6
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkrike og klare store grunne vannmasser uten fisk;NA F4-7
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkrike og klare små grunne vannmasser uten fisk;NA F4-8
Natursystem;NA;Limniske vannmasser;NA F;Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser;NA F4;Svært kalkfattige og humøse store grunne vannmasser uten fisk;NA F4-9
Natursystem;NA;Limniske vannmasser;NA F;Turbide vannmasser;NA F5;Kalkfattige litt turbide vannmasser;NA F5-1
Natursystem;NA;Limniske vannmasser;NA F;Turbide vannmasser;NA F5;Kalkrike litt turbide vannmasser;NA F5-2
Natursystem;NA;Limniske vannmasser;NA F;Turbide vannmasser;NA F5;Svært turbide vannmasser;NA F5-3
Natursystem;NA;Limniske vannmasser;NA F;Grottesjø-vannmasser;NA F6;Grottesjø-vannmasser;NA F6-1
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av oksygenmangel;NA F7;Innsjø-vannmasser med periodisk oksygenmangel;NA F7-1
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av oksygenmangel;NA F7;Anoksiske innsjø-vannmasser betinget av gammelt havvann;NA F7-2
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av oksygenmangel;NA F7;Anoksiske innsjø-vannmasser betinget av saltholdig kildevann;NA F7-3
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av oksygenmangel;NA F7;Anoksiske innsjø-vannmasser betinget av jernholdig vann;NA F7-4
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av oksygenmangel;NA F7;Anoksiske innsjø-vannmasser betinget av kalkrikt vann;NA F7-5
Natursystem;NA;Limniske vannmasser;NA F;Innsjø-vannmasser preget av oksygenmangel;NA F7;Anoksiske innsjø-vannmasser betinget av humusrikt vann;NA F7-6
Natursystem;NA;Limniske vannmasser;NA F;Elvevannmasser;NA F8;Elvevannmasser uten fisk;NA F8-1
Natursystem;NA;Limniske vannmasser;NA F;Elvevannmasser;NA F8;Elvevannmasser med fisk;NA F8-2
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkfattige grunne nye innsjø-vannmasser uten fisk;NA F9-1
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkfattige lagdelte nye innsjø-vannmasser uten fisk;NA F9-2
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkrike grunne nye innsjø-vannmasser uten fisk;NA F9-3
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkrike lagdelte nye innsjø-vannmasser uten fisk;NA F9-4
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkfattige grunne nye innsjø-vannmasser med fisk;NA F9-5
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkfattige lagdelte nye innsjø-vannmasser med fisk;NA F9-6
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkrike grunne nye innsjø-vannmasser med fisk;NA F9-7
Natursystem;NA;Limniske vannmasser;NA F;Nye innsjø-vannmasser;NA F9;Kalkrike lagdelte nye innsjø-vannmasser med fisk;NA F9-8
Natursystem;NA;Innsjøbunnsystemer;NA L;Arktisk permafrost-innsjøbunn;NA L10;Arktisk permafrost-innsjøbunn;NA L10-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Svært kalkfattig og beskyttet fast strandkant-innsjøbunn;NA L1-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Svært kalkrik og beskyttet fast strandkant-innsjøbunn;NA L1-10
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny innsjøbunn;NA L11;Ny sedimentbunn i innsjø;NA L11-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Svært kalkrik og eksponert fast strandkant-innsjøbunn;NA L1-11
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny innsjøbunn;NA L11;Ny fastbunn i innsjø;NA L11-2
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Svært kalkrik beskyttet grunn fast innsjøbunn;NA L1-12
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Turbid eufotisk fast innsjøbunn;NA L1-13
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Svært kalkfattig og eksponert fast strandkant-innsjøbunn;NA L1-14
Natursystem;NA;Innsjøbunnsystemer;NA L;Semi-naturlig eutrof innsjøbunn;NA L12;Semi-naturlig eutrof innsjøbunn;NA L12-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Svært kalkfattig beskyttet grunn fast innsjøbunn;NA L1-3
Natursystem;NA;Innsjøbunnsystemer;NA L;Semi-naturlig vannstrand-eng;NA L13;Kalkfattig semi-naturlig vannstrand-eng;NA L13-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Semi-naturlig vannstrand-eng;NA L13;Kalkrik semi-naturlig vannstrand-eng;NA L13-2
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Noe kalkfattig og beskyttet fast strandkant-innsjøbunn;NA L1-4
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny sterkt endret innsjøbunn;NA L14;Sterkt endret ny fast innsjøbunn;NA L14-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny sterkt endret innsjøbunn;NA L14;Kalkfattig (ny) syntetisk innsjøbunn;NA L14-2
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny sterkt endret innsjøbunn;NA L14;Kalkrik (ny) syntetisk innsjøbunn;NA L14-3
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny sterkt endret innsjøbunn;NA L14;Kalkfattig ny innsjø-sedimentbunn;NA L14-4
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny sterkt endret innsjøbunn;NA L14;Kalkrik ny innsjø-sedimentbunn ;NA L14-5
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Noe kalkfattig og eksponert fast strandkant-innsjøbunn;NA L1-5
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny innsjøbunn med opphav i elvebunn;NA L15;Kalkfattig ny innsjø-sedimentbunn med opphav i elvebunn;NA L15-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny innsjøbunn med opphav i elvebunn;NA L15;Kalkfattig ny fast innsjøbunn med opphav i elvebunn;NA L15-2
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny innsjøbunn med opphav i elvebunn;NA L15;Kalkrik ny innsjø-sedimentbunn med opphav i elvebunn;NA L15-3
Natursystem;NA;Innsjøbunnsystemer;NA L;Ny innsjøbunn med opphav i elvebunn;NA L15;Kalkrik ny fast innsjøbunn med opphav i elvebunn;NA L15-4
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Noe kalkfattig beskyttet grunn fast innsjøbunn;NA L1-6
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk fysisk forstyrrelse;NA L16;Kalkfattig kronisk fysisk forstyrret innsjø-sedimentbunn;NA L16-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk fysisk forstyrrelse;NA L16;Kalkfattig kronisk fysisk forstyrret fast innsjøbunn;NA L16-2
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk fysisk forstyrrelse;NA L16;Kalkrik kronisk fysisk forstyrret innsjø-sedimentbunn;NA L16-3
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk fysisk forstyrrelse;NA L16;Kalkrik kronisk fysisk forstyrret fast innsjøbunn;NA L16-4
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk fysisk forstyrrelse;NA L16;Reguleringssone i innsjø;NA L16-5
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Moderat kalkrik og beskyttet fast strandkant-innsjøbunn ;NA L1-7
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk kjemisk påvirket innsjø-sedimentbunn ;NA L17-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk kjemisk påvirket fast innsjøbunn ;NA L17-2
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk saltpåvirket innsjø-sedimentbunn ;NA L17-3
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk eutrofiert innsjø-sedimentbunn ;NA L17-4
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk eutrofiert fast innsjøbunn ;NA L17-5
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk forsuret innsjø-sedimentbunn ;NA L17-6
Natursystem;NA;Innsjøbunnsystemer;NA L;Innsjøbunn preget av kronisk kjemisk påvirkning;NA L17;Kronisk forsuret fast innsjøbunn ;NA L17-7
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Moderat kalkrik og eksponert fast strandkant-innsjøbunn;NA L1-8
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk fast innsjøbunn;NA L1;Moderat kalkrik beskyttet grunn fast innsjøbunn;NA L1-9
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk innsjø-sedimentbunn;NA L2;Svært kalkfattig innsjø-sedimentbunn av silt og sand i strandkant;NA L2-1
Natursystem;NA;Innsjøbunnsystemer;NA L;Eufotisk innsjø-sedimentbunn;NA L2;Svært kalkfattig innsjø-sedimentbunn av grus og stein i karplantebeltet;NA L2-10
