Nivå;Hovedtypegruppe_kode;Hovedtype_kode;HOVEDTYPE_navn;Sammensatt_Kode;Navn_GRUNNTYPE 1:500 (langnavn);Navn_GRUNNTYPE 1:500 (populærnavn)
NA;V;V2;Myr- og sumpskogsmark;V2-2;kalkfattig myr- og sumpskogstue;
NA;V;V2;Myr- og sumpskogsmark;V2-3;intermediær myr- og sumpskogsmatte;
NA;V;V2;Myr- og sumpskogsmark;V2-4;intermediær myr- og sumpskogstue;
NA;V;V2;Myr- og sumpskogsmark;V2-5;kalkrik myr- og sumpskogsmatte;
NA;V;V2;Myr- og sumpskogsmark;V2-6;kalkrik myr- og sumpskogstue;
NA;V;V2;Myr- og sumpskogsmark;V2-7;intermediær myr- og sumpskogsmatte med svak kildevannspåvirkning;intermediær kildemyrskogsmark
NA;V;V2;Myr- og sumpskogsmark;V2-8;kalkrik myr- og sumpskogsmatte med svak kildevannspåvirkning;kalkrik kildemyrskogsmark
NA;V;V3;Nedbørsmyr;V3-1;ombrotrof mykmatte;
NA;V;V3;Nedbørsmyr;V3-2;ombrotrof nedre fastmatte;
NA;V;V3;Nedbørsmyr;V3-3;ombrotrof øvre fastmatte;
NA;V;V3;Nedbørsmyr;V3-4;ombrotrof nedre tuenivå;
NA;V;V3;Nedbørsmyr;V3-5;ombrotrof øvre tuenivå;
NA;V;V3;Nedbørsmyr;V3-6;ombrotrof øvre tuenivå i myrkant;ombrotrof myrkant
NA;V;V3;Nedbørsmyr;V3-7;ombrotrof rabbepreget myrtue;
NA;V;V4;Kaldkilde;V4-1;kalkfattig svak eller ustabil kilde;kalkfattig svakkilde
NA;V;V4;Kaldkilde;V4-2;intermediær svak eller ustabil kilde;intermediær svakkilde
NA;V;V4;Kaldkilde;V4-3;intermediær stabil kilde;intermediær stabil kilde
NA;V;V4;Kaldkilde;V4-4;kalkrik svak eller ustabil kilde;kalkrik svakkilde
NA;V;V4;Kaldkilde;V4-5;kalkrik stabil kilde;kalkrik stabil kilde
NA;V;V4;Kaldkilde;V4-6;intermediær svak eller ustabil torvmarkskilde;intermediær svak dypkilde
NA;V;V4;Kaldkilde;V4-7;intermediær stabil torvmarkskilde;intermediær stabil dypkilde
NA;V;V4;Kaldkilde;V4-8;kalkrik svak eller ustabil torvmarkskilde;kalkrik svak dypkilde
NA;V;V4;Kaldkilde;V4-9;kalkrik stabil torvmarkskilde;kalkrik stabil dypkilde
NA;V;V5;Varm kilde;V5-1;svakt jordvarmeinfluert kilde;svak varmkilde
NA;V;V5;Varm kilde;V5-2;klart jordvarmeinfluert kilde;klar varmkilde
NA;V;V6;Våtsnøleie og snøleiekilde;V6-1;kalkfattig-intermediær moderat våtsnøleie;kalkfattig moderat våtsnøleie
NA;V;V6;Våtsnøleie og snøleiekilde;V6-2;kalkrikt moderat våtsnøleie;
NA;V;V6;Våtsnøleie og snøleiekilde;V6-3;kalkfattig-intermediær seint våtsnøleie;kalkfattig seint våtsnøleie
NA;V;V6;Våtsnøleie og snøleiekilde;V6-4;kalkrikt seint våtsnøleie;
NA;V;V6;Våtsnøleie og snøleiekilde;V6-5;kalkfattig-intermediær ekstrem-våtsnøleie;kalkfattig ekstrem-våtsnøleie
NA;V;V6;Våtsnøleie og snøleiekilde;V6-6;kalkrikt ekstrem-våtsnøleie;
NA;V;V6;Våtsnøleie og snøleiekilde;V6-7;kalkfattig-intermediær seint kildesnøleie;kalkfattig seint kildesnøleie
NA;V;V6;Våtsnøleie og snøleiekilde;V6-8;kalkrikt seint kildesnøleie;
NA;V;V6;Våtsnøleie og snøleiekilde;V6-9;ekstrem-kildesnøleie;
NA;V;V7;Arktisk permafrost-våtmark;V7-1;kalkfattig-intermediær permafrost-våtmark;kalkfattig permafrost-våtmark
NA;V;V7;Arktisk permafrost-våtmark;V7-2;kalkrik permafrost-våtmark;
NA;V;V8;Strandsumpskogsmark;V8-1;intermediær strandsumpskogsmark;intermediær strand- og sumpskogsmark
NA;V;V8;Strandsumpskogsmark;V8-2;kalkrik strandsumpskogsmark;kalkrik strand- og sumpskogsmark
NA;V;V8;Strandsumpskogsmark;V8-3;kalkrik saltpåvirket strandsumpskogsmark;saltpåvirket strand- og sumpskogsmark
NA;V;V9;Semi-naturlig myr;V9-1;kalkfattig semi-naturlig myr;
NA;V;V9;Semi-naturlig myr;V9-2;intermediær semi-naturlig myr;
NA;V;V9;Semi-naturlig myr;V9-3;kalkrik semi-naturlig myr;
NA;V;V10;Semi-naturlig våteng;V10-1;intermediær semi-naturlig våteng;intermediær våteng
NA;V;V10;Semi-naturlig våteng;V10-2;kalkrik semi-naturlig våteng;kalkrik våteng
NA;V;V10;Semi-naturlig våteng;V10-3;semi-naturlig våteng med svak kildevannspåvirkning;kildevannspåvirket våteng
NA;V;V11;Torvtak;V11-1;kalkfattig torvtak;
NA;V;V11;Torvtak;V11-2;kalkrikt torvtak;
NA;V;V12;Grøftet torvmark;V12-1;Grøftet kalkfattig jordvannsmyr;
NA;V;V12;Grøftet torvmark;V12-2;Grøftet kalkrik jordvannsmyr;
NA;V;V12;Grøftet torvmark;V12-3;Grøftet nedbørsmyr;
NA;V;V13;Ny våtmark;V13-1;ny våtmark med opprinnelse i sterkt endret fastmarkssystem som ikke er jordbruksmark;
NA;V;V13;Ny våtmark;V13-2;ny våtmark med opprinnelse i sterkt endret fastmarkssystem som ikke er jordbruksmark med torvdannelse;
NA;V;V13;Ny våtmark;V13-3;ny våtmark med opprinnelse i jordbruksmark på fastmark;
NA;V;V13;Ny våtmark;V13-4;ny våtmark med opprinnelse i jordbruksmark på fastmark med torvdannelse;
NA;V;V13;Ny våtmark;V13-5;ny våtmark med opprinnelse i neddemt skogsmark;
NA;V;V13;Ny våtmark;V13-6;ny våtmark med opprinnelse i neddemt skogsmark med torvdannelse;
NA;V;V13;Ny våtmark;V13-7;ny våtmark med opprinnelse i ferskvannsbunn;
NA;V;V13;Ny våtmark;V13-8;ny våtmark med opprinnelse i ferskvannsbunn med torvdannelse;
NA;H;H1;Havvannmasser;H1-1;epipelagiale havvannmasser;
NA;H;H1;Havvannmasser;H1-2;mesopelagiale havvannmasser;
NA;H;H1;Havvannmasser;H1-3;bathypelagiale havvannmasser;
NA;H;H1;Havvannmasser;H1-4;abyssopelagiale havvannmasser;
NA;H;H1;Havvannmasser;H1-5;epipelagiale kystvannmasser;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-1;fjord;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-2;stor poll;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-3;middels stor eller liten poll;mindre poll
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-4;stort litoralbasseng;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-5;lite litoralbasseng;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-6;temporært litoralbasseng;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-7;stor brakkvannspoll;
NA;H;H2;Sirkulerende vannmasser i fysisk avgrensede saltvannsforekomster;H2-8;middels stor eller liten brakkvannspoll;mindre brakkvannspoll
NA;H;H3;Ikke-sirkulerende marine vannmasser i fysisk avgrensede saltvannsforekomster;;;
NA;H;H4;Sterkt endrete marine vannmasser;H4-1;vannmasser sterkt endret gjennom fysiske inngrep;
NA;H;H4;Sterkt endrete marine vannmasser;H4-2;vannmasser sterkt endret gjennom kjemiske inngrep;
NA;H;H4;Sterkt endrete marine vannmasser;H4-3;vannmasser sterkt endret gjennom biologiske inngrep;
NA;H;H4;Sterkt endrete marine vannmasser;H4-4;nye marine vannmasser;
NA;F;F1;Elvevannmasser;F1-1;kalkfattige klare roligflytende eller hurtigstrømmende elvevannmasser;kalkfattige elvevannmasser
NA;F;F1;Elvevannmasser;F1-2;kalkfattige humøse roligflytende eller hurtigstrømmende elvevannmasser;kalkfattige humøse elvevannmasser
NA;F;F1;Elvevannmasser;F1-3;kalkfattige klare elvevannmasser i stryk, fossestryk og fosser;vannmasser i stryk og fosser
NA;F;F1;Elvevannmasser;F1-4;kalkfattige humøse elvevannmasser i stryk, fossestryk og fosser;humøse vannmasser i stryk og fosser
NA;F;F1;Elvevannmasser;F1-5;kalkrike klare roligflytende eller hurtigstrømmende elvevannmasser;kalkrike elvevannmasser
NA;F;F1;Elvevannmasser;F1-6;kalkrike humøse roligflytende eller hurtigstrømmende elvevannmasser;kalkrike humøse elvevannmasser
NA;F;F2;Sirkulerende innsjøvannmasser;F2-1;klare kalkfattige innsjømasser i dype innsjøer med sjikting;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-2;klare intermediære innsjømasser i dype innsjøer med sjikting;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-3;klare kalkrike innsjømasser i dype innsjøer med sjikting;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-4;klare kalkfattige innsjømasser i små og/eller grunne innsjøer;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-5;klare intermediære innsjømasser i små og/eller grunne innsjøer;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-6;klare kalkrike innsjømasser i små og/eller grunne innsjøer;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-7;klare kalkfattige innsjømasser i dammer eller pytter;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-8;klare intermediære innsjømasser i dammer eller pytter;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-9;klare kalkrike innsjømasser i dammer eller pytter;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-10;temporære vannforekomster;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-11;klare kalkfattige turbide innsjømasser i dype innsjøer med sjikting;turbide innsjømasser i dype innsjøer med sjikting
NA;F;F2;Sirkulerende innsjøvannmasser;F2-12;klare kalkfattige turbide innsjømasser i små og/eller grunne innsjøer;turbide innsjømasser i små og/eller grunne innsjøer
NA;F;F2;Sirkulerende innsjøvannmasser;F2-13;humøse kalkfattige innsjømasser i dype innsjøer med sjikting;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-14;humøse intermediære innsjømasser i dype innsjøer med sjikting;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-15;humøse kalkrike innsjømasser i dype innsjøer med sjikting;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-16;humøse kalkfattige innsjømasser i små og/eller grunne innsjøer;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-17;humøse intermediære innsjømasser i små og/eller grunne innsjøer;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-18;humøse kalkrike innsjømasser i små og/eller grunne innsjøer;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-19;humøse kalkfattige innsjømasser i dammer eller pytter;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-20;humøse intermediære innsjømasser i dammer eller pytter;
NA;F;F2;Sirkulerende innsjøvannmasser;F2-21;humøse kalkrike innsjømasser i dammer eller pytter;
NA;F;F3;Ikke-sirkulerende innsjøvannmasser;;;
NA;F;F4;Sterkt endrete elvevannmasser;F4-1;elvevannmasser sterkt endret gjennom fysisk inngrep;
NA;F;F4;Sterkt endrete elvevannmasser;F4-2;elvevannmasser sterkt endret gjennom kjemisk inngrep;
NA;F;F4;Sterkt endrete elvevannmasser;F4-3;elvevannmasser sterkt endret gjennom biologisk inngrep;
NA;F;F5;Sterkt endrete innsjøvannmasser;F5-1;innsjøvannmasser sterkt endret gjennom fysisk inngrep;
NA;F;F5;Sterkt endrete innsjøvannmasser;F5-2;innsjøvannmasser sterkt endret gjennom kjemisk inngrep;
NA;F;F5;Sterkt endrete innsjøvannmasser;F5-3;innsjøvannmasser sterkt endret gjennom biologisk inngrep;
NA;F;F5;Sterkt endrete innsjøvannmasser;F5-4;nye innsjøvannmasser;
NA;I;I1;Snø- og isdekt fastmark;;;
NA;I;I2;Polar havis;;;
