HT;Hovedtypenavn;LKM kategori;Gradientkodedefinisjon;Gradientkode;Trinn1;Trinn1 csv;Trinn1 navn;Trinn2;Trinn2 csv;Trinn2 navn;Trinn3;Trinn3 csv;Trinn3 navn;Trinn4;Trinn4 csv;Trinn4 navn;Trinn5;Trinn5 csv;Trinn5 navn;Trinn6;Trinn6 csv;Trinn6 navn;Tags
T6;Strandberg ;tLKM;VF-0abcde|fgh¤;VF;T6-VF_1;VF-0,VF-a,VF-b,VF-c,VF-d,VF-e;;T6-VF_2;VF-f,VF-g,VF-h,VF-¤;;;;;;;;;;;;;;Trinn
T6;Strandberg ;tLKM;KA-bcde|fghi;KA;T6-KA_1;KA-b,KA-c,KA-d,KA-e;;T6-KA_2;KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
T6;Strandberg ;tLKM;IF-0ab|¤;IF;T6-IF_1;IF-0,IF-a,IF-b;;T6-IF_2;IF-¤;;;;;;;;;;;;;;Trinn
T6;Strandberg ;tLKM;HF-0ab|+;HF;T6-HF_1;HF-0,HF-a,HF-b;;T6-HF_2;HF-+;;;;;;;;;;;;;;Trinn
T7;Snøleie ;hLKM;KA-a|bc|de|fg|hi;KA;T7-KA_1;KA-a;;T7-KA_2;KA-b,KA-c;;T7-KA_3;KA-d,KA-e;;T7-KA_4;KA-f,KA-g;;T7-KA_5;KA-h,KA-i;;;;;Trinn
T7;Snøleie ;hLKM;SV-ab|cd|ef|g;SV;T7-SV_1;SV-a,SV-b;;T7-SV_2;SV-c,SV-d;;T7-SV_3;SV-e,SV-f;;T7-SV_4;SV-g;;;;;;;;Trinn
T7;Snøleie ;tLKM;KI-0a|bc;KI;T7-KI_1;KI-0,KI-a;;T7-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
T7;Snøleie ;uLKM;S1-bc|defg;S1;T7-S1_1;S1-b,S1-c;stein og blokker;T7-S1_2;S1-d,S1-e,S1-f,S1-g;dominert av grus og finere materiale;;;;;;;;;;;;;Trinn
T7;Snøleie ;uLKM;HI-0|a;HI;T7-HI_1;HI-0;uten hevdpreg;T7-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T7;Snøleie ;uLKM;VM-0a|b;VM;T7-VM_1;VM-0, VM-a;veldrenert mark;T7-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T8;Fuglefjell-eng og fugletopp ;hLKM;NG-ab|cd|¤;NG;T8-NG_1;NG-a,NG-b;;T8-NG_2;NG-c,NG-d;;T8-NG_3;NG-¤;;;;;;;;;;;Trinn
T8;Fuglefjell-eng og fugletopp ;tLKM;UF-abcd|efgh;UF;T8-UF_1;UF-a,UF-b,UF-c,UF-d;;T8-UF_2;UF-e,UF-f,UF-g,UF-h;;;;;;;;;;;;;;Trinn
T8;Fuglefjell-eng og fugletopp ;tLKM;KI-0a|bc;KI;T8-KI_1;KI-0,KI-a;;T8-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
T8;Fuglefjell-eng og fugletopp ;uLKM;HI-0|a;HI;T8-HI_1;HI-0;uten hevdpreg;T8-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T8;Fuglefjell-eng og fugletopp ;uLKM;KA-cde|fghi;KA;T8-KA_1;KA-c,KA-d,KA-e;litt kalkfattig og intermediær;T8-KA_2;KA-f,KA-g,KA-h,KA-i;kalkrik;;;;;;;;;;;;;Trinn
T9;Mosetundra ;tLKM;KA-cde|fghi;KA;T9-KA_1;KA-c,KA-d,KA-e;;T9-KA_2;KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
T9;Mosetundra ;uLKM;VM-0a|b;VM;T9-VM_1;VM-0, VM-a;veldrenert mark;T9-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T10;Arktisk steppe ;tLKM;VI-0|abc;VI;T10-VI_1;VI-0;;T10-VI_2;VI-a,VI-b,VI-c;;;;;;;;;;;;;;Trinn
T11;Saltanrikingsmark i fjæresonen ;tLKM;S1-de|hi;S1;T11-S1_1;S1-d,S1-e;;T11-S1_2;S1-h,S1-i;;;;;;;;;;;;;;Trinn
T11;Saltanrikingsmark i fjæresonen ;tLKM;TV-cdefgh|ijk;TV;T11-TV_1;TV-c,TV-d,TV-e,TV-f,TV-g,TV-h;;T11-TV_2;TV-i,TV-j,TV-k;;;;;;;;;;;;;;Trinn
T12;Strandeng ;hLKM;TV-cd|ef|gh|ijk;TV;T12-TV_1;TV-c,TV-d;;T12-TV_2;TV-e,TV-f;;T12-TV_3;TV-g,TV-h;;T12-TV_4;TV-i,TV-j,TV-k;;;;;;;;Trinn
T12;Strandeng ;uLKM;HI-0|a;HI;T12-HI_1;HI-0;uten hevdpreg;T12-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T12;Strandeng ;uLKM;S1-de|hi|j;S1;T12-S1_1;S1-d,S1-e;grus;T12-S1_2;S1-h,S1-i;silt- og leirdominert;T12-S1_3;S1-j;skjellsand;;;;;;;;;;Trinn
T12;Strandeng ;uLKM;SA-abc|def;SA;T12-SA_1;SA-a,SA-b,SA-c;brakt;T12-SA_2;SA-d,SA-e,SA-f;salt;;;;;;;;;;;;;Trinn
T12;Strandeng ;uLKM;KA-efg|hi;KA;T12-KA_1;KA-e,KA-f,KA-g;sterkt intermediær og svakt kalkrik;T12-KA_2;KA-h,KA-i;sterkt kalkrik;;;;;;;;;;;;;Trinn
T12;Strandeng ;uLKM;VM-0a|b;VM;T12-VM_1;VM-0, VM-a;veldrenert mark;T12-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T13;Rasmark ;hLKM;KA-abc|defg|hi;KA;T13-KA_1;KA-a,KA-b,KA-c;;T13-KA_2;KA-d,KA-e,KA-f,KA-g;;T13-KA_3;KA-h,KA-i;;;;;;;;;;;Trinn
T13;Rasmark ;hLKM;S1-b|c|def;S1;T13-S1_1;S1-b;;T13-S1_2;S1-c;;T13-S1_3;S1-d,S1-e,S1-f;;;;;;;;;;;Trinn
T13;Rasmark ;tLKM;UE-abc|defg;UE;T13-UE_1;UE-a,UE-b,UE-c;;T13-UE_2;UE-d,UE-e,UE-f,UE-g;;;;;;;;;;;;;;Trinn
T13;Rasmark ;tLKM;RU-bcde|¤;RU;T13-RU_1;RU-b,RU-c,RU-d,RU-e;;T13-RU_2;RU-¤;;;;;;;;;;;;;;Trinn
T13;Rasmark ;uLKM;VI-0a|bc;VI;T13-VI_1;VI-0,VI-a;uten vindpreg til temmelig sterkt vindpreget;T13-VI_2;VI-b,VI-c;svært sterkt vindpreget;;;;;;;;;;;;;Trinn
T13;Rasmark ;uLKM;BK-0|a;BK;T13-BK_1;BK-0;‘normal’ berggrunn;T13-BK_2;BK-a;ultramafisk;;;;;;;;;;;;;Trinn
T14;Rabbe ;tLKM;KA-abcde|fghi;KA;T14-KA_1;KA-a,KA-b,KA-c,KA-d,KA-e;;T14-KA_2;KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
T14;Rabbe ;tLKM;VI-abc|¤;VI;T14-VI_1;VI-a,VI-b,VI-c;;T14-VI_2;VI-¤;;;;;;;;;;;;;;Trinn
T15;Fosse-eng ;tLKM;KA-cde|fgh;KA;T15-KA_1;KA-c,KA-d,KA-e;;T15-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
T15;Fosse-eng ;uLKM;KI-0a|bc;KI;T15-KI_1;KI-0,KI-a;uten eller bare med observerbar kildevannspåvirkning;T15-KI_2;KI-b,KI-c;svak kildevannspåvirkning (storbregne- og høgstaudemark);;;;;;;;;;;;;Trinn
T15;Fosse-eng ;uLKM;HI-0|a;HI;T15-HI_1;HI-0;uten hevdpreg;T15-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T15;Fosse-eng ;uLKM;VS-bc|d;VS;T15-VS_1;VS-b,VS-c;fossestøvpreget;T15-VS_2;VS-d;fosseyrpreget;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;hLKM;KA-abc|de|fg|hi;KA;T16-KA_1;KA-a,KA-b,KA-c;;T16-KA_2;KA-d,KA-e;;T16-KA_3;KA-f,KA-g;;T16-KA_4;KA-h,KA-i;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;tLKM;RU-bc|de;RU;T16-RU_1;RU-b,RU-c;;T16-RU_2;RU-d,RU-e;;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;tLKM;KI-0a|bc;KI;T16-KI_1;KI-0,KI-a;;T16-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;uLKM;HI-0|a;HI;T16-HI_1;HI-0;uten hevdpreg;T16-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;uLKM;BK-0|a;BK;T16-BK_1;BK-0;‘normal’ berggrunn;T16-BK_2;BK-a;ultramafisk;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;uLKM;UF-bcd|efgh;UF;T16-UF_1;UF-b,UF-c,UF-d;temmelig frisk til intermediær;T16-UF_2;UF-e,UF-f,UF-g,UF-h;tørkeutsatt ;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;uLKM;VM-0a|b;VM;T16-VM_1;VM-0, VM-a;veldrenert mark;T16-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T16;Rasmarkhei og -eng ;uLKM;VI-0a|bc;VI;T16-VI_1;VI-0,VI-a;uten vindpreg til temmelig sterkt vindpreget;T16-VI_2;VI-b,VI-c;svært sterkt vindpreget;;;;;;;;;;;;;Trinn
T17;Aktiv skredmark ;hLKM;S1-0|de|fg|hi;S1;T17-S1_1;S1-0;;T17-S1_2;S1-d,S1-e;;T17-S1_3;S1-f,S1-g;;T17-S1_4;S1-h,S1-i;;;;;;;;Trinn
T17;Aktiv skredmark ;uLKM;KA-bcde|fgh;KA;T17-KA_1;KA-b,KA-c,KA-d,KA-e;kalkfattig og intermediær;T17-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T17;Aktiv skredmark ;uLKM;SU-b|c;SU;T17-SU_1;SU-b;temmelig sterkt skredpreg;T17-SU_2;SU-c;svært sterkt skredpreg;;;;;;;;;;;;;Trinn
T17;Aktiv skredmark ;uLKM;KI-0a|bc;KI;T17-KI_1;KI-0,KI-a;uten eller bare med observerbar kildevannspåvirkning;T17-KI_2;KI-b,KI-c;svak kildevannspåvirkning;;;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;hLKM;S1-cde|fg|hi;S1;T18-S1_1;S1-c,S1-d,S1-e;;T18-S1_2;S1-f,S1-g;;T18-S1_3;S1-h,S1-i;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;tLKM;KA-bcde|fgh;KA;T18-KA_1;KA-b,KA-c,KA-d,KA-e;;T18-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;tLKM;VF-f|gh¤;VF;T18-VF_1;VF-f;;T18-VF_2;VF-g,VF-h,VF-¤;;;;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;tLKM;FR-0|a;FR;T18-FR_1;FR-0;;T18-FR_2;FR-a;;;;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;uLKM;HI-0|a;HI;T18-HI_1;HI-0;uten hevdpreg;T18-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;uLKM;KI-0a|bc;KI;T18-KI_1;KI-0,KI-a;uten eller bare med observerbar kildevannspåvirkning;T18-KI_2;KI-b,KI-c;svak kildevannspåvirkning;;;;;;;;;;;;;Trinn
T18;Åpen flomfastmark ;uLKM;IF-0|ab;IF;T18-IF_1;IF-0;uten isforstyrrelsespreg;T18-IF_2;IF-a,IF-b;litt eller klart isforstyrrelsespreget;;;;;;;;;;;;;Trinn
T19;Oppfrysingsmark ;hLKM;S1-cd|h;S1;T19-S1_1;S1-c,S1-d;;T19-S1_2;S1-h;;;;;;;;;;;;;;Trinn
T19;Oppfrysingsmark ;tLKM;KA-bcde|fgh;KA;T19-KA_1;KA-b,KA-c,KA-d,KA-e;;T19-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
T20;Isinnfrysingsmark ;tLKM;KA-cde|fgh;KA;T20-KA_1;KA-c,KA-d,KA-e;;T20-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
T21;Sanddynemark ;hLKM;SS-a|bc|d|ef|gh|i;SS;T21-SS_1;SS-a;;T21-SS_2;SS-b,SS-c;;T21-SS_3;SS-d;;T21-SS_4;SS-e,SS-f;;T21-SS_5;SS-g,SS-h;;T21-SS_6;SS-i;;Trinn
T22;Sanddynemark ;tLKM;VM-0|ab;VM;T22-VM_1;VM-0;;T22-VM_2;VM-a,VM-b;;;;;;;;;;;;;;Trinn
T21;Sanddynemark ;tLKM;VI-abc|¤;VI;T21-VI_1;VI-a,VI-b,VI-c;;T21-VI_2;VI-¤;;;;;;;;;;;;;;Trinn
T21;Sanddynemark ;uLKM;HI-0|a;HI;T21-HI_1;HI-0;uten hevdpreg;T21-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T22;Fjellgrashei og grastundra ;tLKM;KA-bcde|fgh;KA;T22-KA_1;KA-b,KA-c,KA-d,KA-e;;T22-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
T22;Fjellgrashei og grastundra ;tLKM;SV-0|ab;SV;T22-SV_1;SV-0;;T22-SV_2;SV-a,SV-b;;;;;;;;;;;;;;Trinn
T22;Fjellgrashei og grastundra ;uLKM;VM-0a|b;VM;T22-VM_1;VM-0,VM-a;veldrenert eller vekselfuktig;T22-VM_2;VM-b;fuktig;;;;;;;;;;;;;Trinn
T23;Ferskvannsdriftvoll ;;;;;;;;;;;;;;;;;;;;;;
T24;Driftvoll ;hLKM;VF-cd|e|f;VF;T24-VF_1;VF-c,VF-d;;T24-VF_2;VF-e;;T24-VF_3;VF-f;;;;;;;;;;;Trinn
T24;Driftvoll ;uLKM;VM-0a|b;VM;T24-VM_1;VM-0,VM-a;veldrenert eller vekselfuktig;T24-VM_2;VM-b;fuktig;;;;;;;;;;;;;Trinn
T25;Historisk skredmark ;hLKM;S1-0|de|fg|hi;S1;T25-S1_1;S1-0;;T25-S1_2;S1-d,S1-e;;T25-S1_3;S1-f,S1-g;;T25-S1_4;S1-h,S1-i;;;;;;;;Trinn
T25;Historisk skredmark ;uLKM;KI-0a|bc;KI;T25-KI_1;KI-0,KI-a;uten eller bare med observerbar kildevannspåvirkning;T25-KI_2;KI-b,KI-c;svak kildevannspåvirkning (storbregne- og høgstaudemark);;;;;;;;;;;;;Trinn
T25;Historisk skredmark ;uLKM;KA-bcde|fgh;KA;T25-KA_1;KA-b,KA-c,KA-d,KA-e;kalkfattig og intermediær;T25-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T26;Breforland og snøavsmeltingsområde ;tLKM;SV-0|abcd;SV;T26-SV_1;SV-0;;T26-SV_2;SV-a,SV-b,SV-c,SV-d;;;;;;;;;;;;;;Trinn
T26;Breforland og snøavsmeltingsområde ;tLKM;VM-0a|b;VM;T26-VM_1;VM-0,VM-a;;T26-VM_2;VM-b;;;;;;;;;;;;;;Trinn
T26;Breforland og snøavsmeltingsområde ;tLKM;S1-cd|efg|hi;S1;T26-S1_1;S1-c,S1-d;;T26-S1_2;S1-e,S1-f,S1-g;;T26-S1_3;S1-h,S1-i;;;;;;;;;;;Trinn
T26;Breforland og snøavsmeltingsområde ;tLKM;LA-0ab|cdef;LA;T26-LA_1;LA-0,LA-a,LA-b;;T26-LA_2;LA-c,LA-d,LA-e,LA-f;;;;;;;;;;;;;;Trinn
T26;Breforland og snøavsmeltingsområde ;uLKM;KI-0a|bc;KI;T26-KI_1;KI-0,KI-a;uten eller bare med observerbar kildevannspåvirkning;T26-KI_2;KI-b,KI-c;kildevannspåvirkning (kildemyr-, kilde- og våtsnøleieinitialer);;;;;;;;;;;;;Trinn
T26;Breforland og snøavsmeltingsområde ;uLKM;KA-cde|fghi;KA;T26-KA_1;KA-c,KA-d,KA-e;litt kalkfattig og intermediær;T26-KA_2;KA-f,KA-g,KA-h,KA-i;kalkrik;;;;;;;;;;;;;Trinn
T27;Blokkmark ;hLKM;SV-0|abcdef|g;SV;T27-SV_1;SV-0;;T27-SV_2;SV-a,SV-b,SV-c,SV-d,SV-e,SV-f;;T27-SV_3;SV-g;;;;;;;;;;;Trinn
T27;Blokkmark ;tLKM;KA-abcde|fghi;KA;T27-KA_1;KA-a,KA-b,KA-c,KA-d,KA-e;;T27-KA_2;KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
T27;Blokkmark ;tLKM;VI-0a|bc;VI;T27-VI_1;VI-0,VI-a;;T27-VI_2;VI-b,VI-c;;;;;;;;;;;;;;Trinn
T27;Blokkmark ;tLKM;LA-0abcd|ef+;LA;T27-LA_1;LA-0,LA-a,LA-b,LA-c,LA-d;;T27-LA_2;LA-e,LA-f,LA-+;;;;;;;;;;;;;;Trinn
T27;Blokkmark ;uLKM;BK-0|a|b;BK;T27-BK_1;BK-0;‘normal’ berggrunn;T27-BK_2;BK-a;ultramafisk;T27-BK_3;BK-b;jern-rikt;;;;;;;;;;Trinn
T27;Blokkmark ;uLKM;S1-b|c;S1;T27-S1_1;S1-b;blokkdominert;T27-S1_2;S1-c;steindominert;;;;;;;;;;;;;Trinn
T27;Blokkmark ;uLKM;UE-abc|defg;UE;T27-UE_1;UE-a,UE-b,UE-c;lite uttørkingseksponert;T27-UE_2;UE-d,UE-e,UE-f,UE-g;uttørkingseksponert;;;;;;;;;;;;;Trinn
T28;Polarørken ;hLKM;KA-abc|defg|hi;KA;T28-KA_1;KA-a,KA-b,KA-c;;T28-KA_2;KA-d,KA-e,KA-f,KA-g;;T28-KA_3;KA-h,KA-i;;;;;;;;;;;Trinn
T29;Grus- og steindominert strand og strandlinje ;tLKM;S1-c|de|j;S1;T29-S1_1;S1-c;;T29-S1_2;S1-d,S1-e;;T29-S1_3;S1-j;;;;;;;;;;;Trinn
T29;Grus- og steindominert strand og strandlinje ;tLKM;LA-0ab|cdef;LA;T29-LA_1;LA-0,LA-a,LA-b;;T29-LA_2;LA-c,LA-d,LA-e,LA-f;;;;;;;;;;;;;;Trinn
T29;Grus- og steindominert strand og strandlinje ;tLKM;VI-abc|¤;VI;T29-VI_1;VI-a,VI-b,VI-c;;T29-VI_2;VI-¤;;;;;;;;;;;;;;Trinn
T29;Grus- og steindominert strand og strandlinje ;tLKM;TV-ijk|l+;TV;T29-TV_1;TV-i,TV-j,TV-k;;T29-TV_2;TV-l,TV-+;;;;;;;;;;;;;;Trinn
T29;Grus- og steindominert strand og strandlinje ;uLKM;HI-0|a;HI;T29-HI_1;HI-0;uten hevdpreg;T29-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;tLKM;S1-cde|fghi;S1;T30-S1_1;S1-c,S1-d,S1-e;;T30-S1_2;S1-f,S1-g,S1-h,S1-i;;;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;tLKM;VF-bc|de;VF;T30-VF_1;VF-b,VF-c;;T30-VF_2;VF-d,VF-e;;;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;tLKM;ER-0a|b;ER;T30-ER_1;ER-0,ER-a;;T30-ER_2;ER-b;;;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;tLKM;KI-0a|bc;KI;T30-KI_1;KI-0,KI-a;;T30-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;uLKM;HI-0|a;HI;T30-HI_1;HI-0;uten hevdpreg;T30-HI_2;HI-a;tydelig beitepreget (beiteskog);;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;uLKM;SA-0|ab;SA;T30-SA_1;SA-0;ikke saltpåvirket;T30-SA_2;SA-a,SA-b;saltpåvirket;;;;;;;;;;;;;Trinn
T30;Flomskogsmark ;uLKM;KA-bcde|fgh;KA;T30-KA_1;KA-b,KA-c,KA-d,KA-e;kalkfattig og intermediær;T30-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T31;Boreal hei ;hLKM;KA-abc|de|fg|hi;KA;T31-KA_1;KA-a,KA-b,KA-c;;T31-KA_2;KA-d,KA-e;;T31-KA_3;KA-f,KA-g;;T31-KA_4;KA-h,KA-i;;;;;;;;Trinn
T31;Boreal hei ;hLKM;UF-bc|de|fgh;UF;T31-UF_1;UF-b,UF-c;;T31-UF_2;UF-d,UF-e;;T31-UF_3;UF-f,UF-g,UF-h;;;;;;;;;;;Trinn
T31;Boreal hei ;tLKM;KI-0a|bc;KI;T31-KI_1;KI-0,KI-a;;T31-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
T31;Boreal hei ;uLKM;VM-0a|b;VM;T31-VM_1;VM-0, VM-a;veldrenert mark;T31-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T31;Boreal hei ;uLKM;HI-0|a;HI;T31-HI_1;HI-0;uten hevdpreg;T31-HI_2;HI-a;tydelig beitepreget;;;;;;;;;;;;;Trinn
T31;Boreal hei ;uLKM;BK-0|a;BK;T31-BK_1;BK-0;‘normal’ berggrunn;T31-BK_2;BK-a;ultramafisk;;;;;;;;;;;;;Trinn
T32;Semi-naturlig eng ;hLKM;KA-bc|de|fg|hi;KA;T32-KA_1;KA-b,KA-c;;T32-KA_2;KA-d,KA-e;;T32-KA_3;KA-f,KA-g;;T32-KA_4;KA-h,KA-i;;;;;;;;Trinn
T32;Semi-naturlig eng ;hLKM;HI-b|cd|e;HI;T32-HI_1;HI-b;;T32-HI_2;HI-c,HI-d;;T32-HI_3;HI-e;;;;;;;;;;;Trinn
T32;Semi-naturlig eng ;tLKM;KI-0a|bc;KI;T32-KI_1;KI-0,KI-a;;T32-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
T32;Semi-naturlig eng ;tLKM;UF-ab|cde;UF;T32-UF_1;UF-a,UF-b;;T32-UF_2;UF-c,UF-d,UF-e;;;;;;;;;;;;;;Trinn
T32;Semi-naturlig eng ;tLKM;SS-fghi|jk+;SS;T32-SS_1;SS-f,SS-g,SS-h,SS-i;;T32-SS_2;SS-j,SS-k,SS-+;;;;;;;;;;;;;;Trinn
T32;Semi-naturlig eng ;uLKM;VM-0a|b;VM;T32-VM_1;VM-0, VM-a;veldrenert mark;T32-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T32;Semi-naturlig eng ;uLKM;SP-0|a;SP;T32-SP_1;SP-0;beitepreget;T32-SP_2;SP-a;slåttepreget;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;tLKM;TV-fgh|ijk;TV;T33-TV_1;TV-f,TV-g,TV-h;;T33-TV_2;TV-i,TV-j,TV-k;;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;uLKM;SA-abc|def;SA;T33-SA_1;SA-a,SA-b,SA-c;brakt;T33-SA_2;SA-d,SA-e,SA-f;salt;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;uLKM;SP-0|a;SP;T33-SP_1;SP-0;beitepreget;T33-SP_2;SP-a;slåttepreget;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;uLKM;VM-0a|b;VM;T33-VM_1;VM-0, VM-a;veldrenert mark;T33-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;uLKM;HI-bc|de;HI;T33-HI_1;HI-b,HI-c;svært - typisk ekstensivt hevdpreg;T33-HI_2;HI-d,HI-e;typisk ekstensivt hevdpreg - ekstensivt hevdpreg med svakt preg av gjødsling;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;uLKM;KA-efg|hi;KA;T33-KA_1;KA-e,KA-f,KA-g;sterkt intermediær og svakt kalkrik;T33-KA_2;KA-h,KA-i;sterkt kalkrik;;;;;;;;;;;;;Trinn
T33;Semi-naturlig strandeng ;uLKM;S1-de|hi|j;S1;T33-S1_1;S1-d,S1-e;grus;T33-S1_2;S1-h,S1-i;silt- og leirdominert;T33-S1_3;S1-j;skjellsand;;;;;;;;;;Trinn
T34;Kystlynghei ;hLKM;KA-abc|de|fg|hi;KA;T34-KA_1;KA-a,KA-b,KA-c;;T34-KA_2;KA-d,KA-e;;T34-KA_3;KA-f,KA-g;;T34-KA_4;KA-h,KA-i;;;;;;;;Trinn
T34;Kystlynghei ;hLKM;UF-bc|de|fgh;UF;T34-UF_1;UF-b,UF-c;;T34-UF_2;UF-d,UF-e;;T34-UF_3;UF-f,UF-g,UF-h;;;;;;;;;;;Trinn
T34;Kystlynghei ;tLKM;VM-0a|b;VM;T34-VM_1;VM-0,VM-a;;T34-VM_2;VM-b;;;;;;;;;;;;;;Trinn
T34;Kystlynghei ;uLKM;BK-0|a;BK;T34-BK_1;BK-0;‘normal’ berggrunn;T34-BK_2;BK-a;ultramafisk;;;;;;;;;;;;;Trinn
T35;Sterkt endret fastmark med løsmassedekke [løs sterkt endret fastmark] ;tLKM;S1-0|cde|fg|hi;S1;T35-S1_1;S1-0;;T35-S1_2;S1-c,S1-d,S1-e;;T35-S1_3;S1-f,S1-g;;T35-S1_4;S1-h,S1-i;;;;;;;;Trinn
T35;Sterkt endret fastmark med løsmassedekke [løs sterkt endret fastmark] ;uLKM;KA-bcde|fgh;KA;T35-KA_1;KA-b,KA-c,KA-d,KA-e;kalkfattig og intermediær;T35-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T36;Ny fastmark på tidligere våtmarks- og ferskvannsbunn [tørrlagte våtmarks- og ferskvannssystemer] ;tLKM;HS-A|B|C;HS;T36-HS_1;HS-A;;T36-HS_2;HS-B;;T36-HS_3;HS-C;;;;;;;;;;;Trinn
T36;Ny fastmark på tidligere våtmarks- og ferskvannsbunn [tørrlagte våtmarks- og ferskvannssystemer] ;uLKM;KA-abcd|efgh;KA;T36-KA_1;KA-a,KA-b,KA-c,KA-d;kalkfattig og svak intermediær;T36-KA_2;KA-e,KA-f,KA-g,KA-h;sterk intermediær og kalkrik;;;;;;;;;;;;;Trinn
T37;Ny fastmark på sterkt endrete og syntetiske substrater, i rask suksesjon [ny løs fastmark] ;tLKM;HS-A|B|C;HS;T37-HS_1;HS-A;;T37-HS_2;HS-B;;T37-HS_3;HS-C;;;;;;;;;;;Trinn
T38;Treplantasje ;uLKM;KA-bcde|fgh;KA;T38-KA_1;KA-b,KA-c,KA-d,KA-e;kalkfattig og intermediær;T38-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T38;Treplantasje ;uLKM;UF-ab|cde;UF;T38-UF_1;UF-a,UF-b;temmelig frisk og frisk;T38-UF_2;UF-c,UF-d,UF-e;litt frisk til litt tørkeutsatt;;;;;;;;;;;;;Trinn
T39;Hard sterkt endret og ny fastmark i langsom suksesjon [hard sterkt endret fastmark] ;tLKM;KA-ab|cdef;KA;T39-KA_1;KA-a,KA-b;;T39-KA_2;KA-c,KA-d,KA-e,KA-f;;;;;;;;;;;;;;Trinn
T39;Hard sterkt endret og ny fastmark i langsom suksesjon [hard sterkt endret fastmark] ;tLKM;HS-A|B|C|D;HS;T39-HS_1;HS-A;;T39-HS_2;HS-B;;T39-HS_3;HS-C;;T39-HS_4;HS-D;;;;;;;;Trinn
