col_0;Variabelgruppe;Nivå 1 Kode;;Nivå 2 Kode;;Nivå 3 Kode;Sammensatt kode;Navn;Variabeltype;Nivå 2 Kode ny;Tags
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);13;2BE-2_13;Andesitt (andesite);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);14;2BE-2_14;Mafisk vulkansk bergart (mafic volcanic rock);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);20;2BE-2_20;Basalt (basalt);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);21;2BE-2_21;Komatiitt (komatiite);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);22;2BE-2_22;Nefelinførende lava (nepheline-bearing  lava);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);30;2BE-2_30;Pyroklastisk bergart (pyroclastic rock);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);40;2BE-2_40;Vulkanske breksje (volcanic breccia);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);41;2BE-2_41;Lapillituff (lapillituff);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);42;2BE-2_42;Tuff (tuff);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;2;Vulkansk bergart (volcanic rock);43;2BE-2_43;Ryolitt (rhyolite);B;2BE-2;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);;2BE_3;Sedimentær bergart (sedimentary rock);M;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);1;2BE-3_1;Leirstein (claystone);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);2;2BE-3_2;Slamstein (mudstone);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);3;2BE-3_3;Siltstein (siltstone);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);4;2BE-3_4;Sandstein (sandstone);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);5;2BE-3_5;Gråvakke (greywacke);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);6;2BE-3_6;Arkose (arkose);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);7;2BE-3_7;Konglomerat (konglomerate);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);10;2BE-3_10;Sedimentær breksje (sedimentary breccia);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);11;2BE-3_11;Tillitt (tillite);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);12;2BE-3_12;Diamiktitt (diamictite);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);20;2BE-3_20;Mergelstein (marl);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);21;2BE-3_21;Kalkstein (limestone);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);22;2BE-3_22;Dolomittstein (dolostone);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);30;2BE-3_30;Kiselstein (chert);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);40;2BE-3_40;Tuffitt (tuffite);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;3;Sedimentær bergart (sedimentary rock);50;2BE-3_50;Båndet jernmalm (banded iron formation);B;2BE-3;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);;2BE_4;Metamorf bergart (metamorphic rock);M;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);1;2BE-4_1;Leirskifer (shale);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);2;2BE-4_2;Fyllitt (phyllite);B;2BE-4;Trinn
